V,D,EPR,traffic,Phi,Phi_per_EP
36,5,3,uniform,426.2240663900437,3.946519133241145
36,5,3,nearst-neighbour,1007.0588235294117,9.324618736383442
36,5,3,shift_1,864.0,8.0
36,5,3,shift_half,192.0,1.7777777777777777
36,5,3,router-cluster,260.0000000000002,2.4074074074074097
36,5,3,random-permute,261.81818181818176,2.424242424242424
114,8,4,uniform,1442.8372739916722,3.1641168289291057
114,8,4,nearst-neighbour,4550.0,9.978070175438596
114,8,4,shift_1,4053.3333333333335,8.88888888888889
114,8,4,shift_half,364.7999999999999,0.7999999999999998
114,8,4,router-cluster,897.7003484320502,1.9686411149825662
114,8,4,random-permute,912.0000000000002,2.0000000000000004
264,11,6,uniform,3893.892382948957,2.4582653932758567
264,11,6,nearst-neighbour,14898.823529411764,9.4058229352347
264,11,6,shift_1,12672.0,8.0
264,11,6,shift_half,1242.3529411764773,0.7843137254902003
264,11,6,router-cluster,2271.895424836581,1.4342774146695585
264,11,6,random-permute,2586.122448979584,1.632653061224485
