V,D,EPR,traffic,Phi,Phi_per_EP
13,4,2,uniform,123.80952380952381,4.761904761904762
13,4,2,nearst-neighbour,181.8181818181818,6.9930069930069925
13,4,2,shift_1,173.33333333333334,6.666666666666667
13,4,2,shift_half,99.04761904761905,3.8095238095238098
13,4,2,router-cluster,126.3157894736842,4.8582995951417
13,4,2,random-permute,83.19999999999999,3.1999999999999997
31,6,3,uniform,327.8160919540227,3.524904214559384
31,6,3,nearst-neighbour,817.7777777777778,8.793309438470729
31,6,3,shift_1,744.0,8.0
31,6,3,shift_half,286.15384615384613,3.0769230769230766
31,6,3,router-cluster,341.6033755274262,3.6731545755637223
31,6,3,random-permute,232.5,2.5
57,8,4,uniform,1078.2500000000027,4.7291666666666785
57,8,4,nearst-neighbour,2270.0000000000005,9.956140350877195
57,8,4,shift_1,2280.0,10.0
57,8,4,shift_half,829.0909090909091,3.6363636363636367
57,8,4,router-cluster,741.2481857764876,3.2510885341074016
57,8,4,random-permute,456.0,2.0
91,10,5,uniform,1716.9454545454512,3.773506493506486
91,10,5,nearst-neighbour,4540.0,9.978021978021978
91,10,5,shift_1,3640.0,8.0
91,10,5,shift_half,1213.3333333333333,2.6666666666666665
91,10,5,router-cluster,1403.785095320622,3.085241967737631
91,10,5,random-permute,910.0,2.0
133,12,6,uniform,2849.4892473118402,3.5707885304659652
133,12,6,nearst-neighbour,7969.999999999996,9.987468671679194
133,12,6,shift_1,7093.333333333333,8.88888888888889
133,12,6,shift_half,1773.3333333333326,2.2222222222222214
133,12,6,router-cluster,2790.7569721115533,3.497189188109716
133,12,6,random-permute,1329.9999999999995,1.666666666666666
183,14,7,uniform,4074.624918460535,3.1808157052775448
183,14,7,nearst-neighbour,12800.000000000004,9.992193598750978
183,14,7,shift_1,7320.0,5.714285714285714
183,14,7,shift_half,1970.7692307692307,1.5384615384615383
183,14,7,router-cluster,3433.785346368133,2.680550621676919
183,14,7,random-permute,2562.0,2.0
