V,D,EPR,traffic,Phi,Phi_per_EP
13,4,2,uniform,128.71287128712885,4.950495049504956
13,4,2,nearst-neighbour,250.0,9.615384615384615
13,4,2,shift_1,208.0,8.0
13,4,2,shift_half,109.47368421052626,4.210526315789472
13,4,2,router-cluster,126.31578947368422,4.858299595141701
13,4,2,random-permute,86.66666666666667,3.3333333333333335
31,6,3,uniform,439.6146435452776,4.727039177906211
31,6,3,nearst-neighbour,920.0,9.89247311827957
31,6,3,shift_1,826.6666666666666,8.88888888888889
31,6,3,shift_half,323.47826086956536,3.478260869565219
31,6,3,router-cluster,432.94117647058835,4.655281467425681
31,6,3,random-permute,232.5,2.5
57,8,4,uniform,1155.26785714286,5.066964285714299
57,8,4,nearst-neighbour,2270.0,9.956140350877194
57,8,4,shift_1,2280.0000000000005,10.000000000000002
57,8,4,shift_half,608.0,2.6666666666666665
57,8,4,router-cluster,1061.787941787941,4.656964656964654
57,8,4,random-permute,456.0,2.0
91,10,5,uniform,2395.0144927536244,5.263768115942032
91,10,5,nearst-neighbour,4540.000000000003,9.978021978021983
91,10,5,shift_1,4550.0,10.0
91,10,5,shift_half,1255.172413793103,2.7586206896551717
91,10,5,router-cluster,2256.222841225625,4.9587315191771975
91,10,5,random-permute,909.9999999999997,1.9999999999999993
133,12,6,uniform,4003.814919735579,5.017311929493207
133,12,6,nearst-neighbour,7970.000000000002,9.987468671679201
133,12,6,shift_1,7980.000000000001,10.000000000000002
133,12,6,shift_half,1636.9230769230749,2.051282051282049
133,12,6,router-cluster,3549.7297297297314,4.448282869335503
133,12,6,random-permute,1329.9999999999995,1.666666666666666
183,14,7,uniform,6182.51402177502,4.826318518169415
183,14,7,nearst-neighbour,12800.000000000005,9.99219359875098
183,14,7,shift_1,12810.0,10.0
183,14,7,shift_half,2383.2558139534926,1.860465116279073
183,14,7,router-cluster,5464.302442288372,4.265653741052593
183,14,7,random-permute,2561.9999999999914,1.9999999999999933
