V,D,EPR,traffic,Phi,Phi_per_EP
18,5,3,uniform,225.1327433628316,4.169124877089474
18,5,3,nearst-neighbour,529.9999999999998,9.814814814814811
18,5,3,shift_1,480.00000000000006,8.88888888888889
18,5,3,shift_half,159.99999999999994,2.962962962962962
18,5,3,router-cluster,218.94736842105277,4.054580896686162
18,5,3,random-permute,172.8,3.2
32,6,3,uniform,452.8864059590321,4.717566728739918
32,6,3,nearst-neighbour,950.0,9.895833333333334
32,6,3,shift_1,960.0,10.0
32,6,3,shift_half,255.99999999999997,2.6666666666666665
32,6,3,router-cluster,417.5886524822695,4.349881796690307
32,6,3,random-permute,239.99999999999997,2.4999999999999996
50,7,4,uniform,792.8286852589675,3.9641434262948376
50,7,4,nearst-neighbour,1990.0,9.95
50,7,4,shift_1,1777.7777777777778,8.88888888888889
50,7,4,shift_half,400.0,2.0
50,7,4,router-cluster,753.8461538461545,3.7692307692307723
50,7,4,random-permute,400.0,2.0
98,11,6,uniform,2700.751173708924,4.5931142410015715
98,11,6,nearst-neighbour,5870.0,9.982993197278912
98,11,6,shift_1,5880.000000000002,10.000000000000004
98,11,6,shift_half,979.9999999999998,1.6666666666666663
98,11,6,router-cluster,2578.018018018016,4.384384384384381
98,11,6,random-permute,1176.0,2.0
128,12,6,uniform,3978.763931104391,5.1806822019588425
128,12,6,nearst-neighbour,7670.000000000001,9.986979166666668
128,12,6,shift_1,7680.0,10.0
128,12,6,shift_half,1462.8571428571427,1.9047619047619044
128,12,6,router-cluster,3543.1884057971056,4.613526570048315
128,12,6,random-permute,1280.0000000000002,1.666666666666667
162,13,7,uniform,5218.081023454176,4.601482383998391
162,13,7,nearst-neighbour,11329.99999999998,9.991181657848307
162,13,7,shift_1,11339.999999999962,9.999999999999966
162,13,7,shift_half,2160.000000000002,1.9047619047619064
162,13,7,router-cluster,4844.9857712009025,4.2724742250448875
162,13,7,random-permute,2268.0000000000014,2.0000000000000013
242,17,9,uniform,8259.204389574743,3.792104862063702
242,17,9,nearst-neighbour,21770.000000000055,9.995408631772293
242,17,9,shift_1,21780.0,10.0
242,17,9,shift_half,2765.7142857143067,1.2698412698412795
242,17,9,router-cluster,7577.797017797026,3.4792456463714534
242,17,9,random-permute,3630.0000000000045,1.6666666666666687
