V,D,EPR,traffic,Phi,Phi_per_EP
18,5,3,uniform,233.39449541284415,4.32212028542304
18,5,3,nearst-neighbour,530.0,9.814814814814815
18,5,3,shift_1,480.0,8.88888888888889
18,5,3,shift_half,160.0,2.962962962962963
18,5,3,router-cluster,255.99999999999991,4.74074074074074
18,5,3,random-permute,166.15384615384622,3.076923076923078
32,6,3,uniform,380.59467918622954,3.964527908189891
32,6,3,nearst-neighbour,950.0,9.895833333333334
32,6,3,shift_1,768.0,8.0
32,6,3,shift_half,284.44444444444446,2.9629629629629632
32,6,3,router-cluster,392.533333333333,4.088888888888886
32,6,3,random-permute,240.0,2.5
50,7,4,uniform,432.6086956521763,2.1630434782608816
50,7,4,nearst-neighbour,1592.0,7.96
50,7,4,shift_1,1777.7777777777778,8.88888888888889
50,7,4,shift_half,400.0,2.0
50,7,4,router-cluster,449.54128440366975,2.2477064220183487
50,7,4,random-permute,355.55555555555554,1.7777777777777777
98,11,6,uniform,2056.3360142984698,3.4971700923443363
98,11,6,nearst-neighbour,5870.0,9.982993197278912
98,11,6,shift_1,4704.0,8.0
98,11,6,shift_half,522.6666666666665,0.8888888888888886
98,11,6,router-cluster,2040.3565062388573,3.469994058229349
98,11,6,random-permute,1175.9999999999995,1.9999999999999993
128,12,6,uniform,2864.361779722846,3.7296377340141227
128,12,6,nearst-neighbour,5335.652173913043,6.9474637681159415
128,12,6,shift_1,4726.153846153846,6.153846153846153
128,12,6,shift_half,787.6923076923076,1.0256410256410255
128,12,6,router-cluster,2379.3673965936696,3.0981346309813405
128,12,6,random-permute,1280.0000000000002,1.666666666666667
162,13,7,uniform,3635.4741272592287,3.2058854737735705
162,13,7,nearst-neighbour,7881.739130434783,6.950387240242313
162,13,7,shift_1,5670.0,5.0
162,13,7,shift_half,617.1428571428568,0.5442176870748296
162,13,7,router-cluster,2751.3380736910112,2.4262240508739077
162,13,7,random-permute,2268.0,2.0
242,17,9,uniform,5890.526904262873,2.7045578072832295
242,17,9,nearst-neighbour,19351.11111111111,8.88480767268646
242,17,9,shift_1,11616.0,5.333333333333333
242,17,9,shift_half,1018.9473684210604,0.4678362573099451
242,17,9,router-cluster,6576.597787518251,3.0195582128182967
242,17,9,random-permute,3630.0000000000045,1.6666666666666687
