V,D,EPR,traffic,Phi,Phi_per_EP,mu
13,4,2,random-permute,81.25,3.125,0.9375
13,4,2,shift_half,101.1111111111111,3.888888888888888,0.3888888888888888
13,4,2,shift_1,130.0,5.0,0.5
13,4,2,nearst-neighbour,166.66666666666669,6.410256410256411,0.6666666666666667
13,4,2,uniform,220.019342359768,8.462282398452613,0.8462282398452613
13,4,2,router-cluster,100.0,3.846153846153847,0.4166666666666667
18,5,3,uniform,316.4928909952606,5.860979462875196,0.5860979462875198
18,5,3,nearst-neighbour,412.987012987013,7.647907647907648,0.7792207792207793
18,5,3,shift_1,344.6808510638298,6.382978723404255,0.6382978723404256
18,5,3,shift_half,128.57142857142856,2.3809523809523805,0.238095238095238
18,5,3,router-cluster,241.0596026490066,4.464066715722344,0.4635761589403972
18,5,3,random-permute,122.26415094339625,2.264150943396227,0.6792452830188681
31,6,3,random-permute,232.5,2.5,1.090909090909091
31,6,3,router-cluster,508.90804597701134,5.47212952663453,0.5531609195402297
31,6,3,shift_half,236.4406779661017,2.542372881355932,0.2542372881355932
31,6,3,shift_1,620.0,6.666666666666667,0.6666666666666667
31,6,3,nearst-neighbour,920.0,9.89247311827957,1.0956521739130436
31,6,3,uniform,674.5924027820798,7.253681750344945,0.7253681750344947
32,6,3,random-permute,202.10526315789477,2.1052631578947367,0.8421052631578949
32,6,3,nearst-neighbour,604.5454545454546,6.297348484848485,0.6363636363636365
32,6,3,shift_1,480.0,5.0,0.5
32,6,3,shift_half,142.22222222222223,1.4814814814814816,0.1481481481481481
32,6,3,uniform,663.8589923568866,6.9151978370509015,0.6915197837050902
32,6,3,router-cluster,386.1345325089002,4.022234713634377,0.4022234713634377
36,5,3,uniform,556.9939736216808,5.157351607608155,0.5157351607608156
36,5,3,nearst-neighbour,692.3529411764705,6.410675381263616,0.6470588235294118
36,5,3,shift_1,471.4285714285714,4.365079365079366,0.4365079365079365
36,5,3,shift_half,174.85714285714283,1.6190476190476188,0.1619047619047619
36,5,3,router-cluster,418.9646033335296,3.879301882717866,0.3879301882717866
36,5,3,random-permute,242.64317180616732,2.2466960352422904,0.8986784140969162
50,7,4,random-permute,400.0,2.0,1.2444444444444442
50,7,4,shift_half,250.0,1.25,0.125
50,7,4,shift_1,1000.0,5.0,0.5
50,7,4,nearst-neighbour,1193.9999999999998,5.969999999999999,0.5999999999999999
50,7,4,uniform,1069.1244168179687,5.345622084089843,0.5345622084089844
50,7,4,router-cluster,790.6869525126784,3.953434762563392,0.3953434762563392
57,8,4,shift_1,1461.984732824428,6.412213740458017,0.6412213740458016
57,8,4,router-cluster,1039.40719578609,4.558803490289869,0.4558803490289869
57,8,4,shift_half,456.0,2.0,0.2
57,8,4,nearst-neighbour,1993.918918918919,8.745258416311048,0.8783783783783784
57,8,4,uniform,1394.212915093005,6.114968925846513,0.6114968925846512
57,8,4,random-permute,456.0,2.0,1.0531514760077505
91,10,5,nearst-neighbour,4272.941176470591,9.391079508726571,0.9411764705882352
91,10,5,shift_1,3033.333333333333,6.666666666666666,0.6666666666666667
91,10,5,shift_half,556.1111111111111,1.222222222222222,0.1222222222222222
91,10,5,router-cluster,2235.4975815781763,4.913181497974014,0.4945791109686231
91,10,5,random-permute,908.4319993794702,1.9965538447900444,0.9982769223950224
91,10,5,uniform,2740.287671145891,6.022610266254706,0.6022610266254704
98,11,6,shift_1,2767.0588235294126,4.7058823529411775,0.4705882352941176
98,11,6,nearst-neighbour,4422.242152466368,7.5208199871877,0.7533632286995515
98,11,6,shift_half,489.9999999999999,0.8333333333333331,0.0833333333333333
98,11,6,router-cluster,2512.7010429011407,4.273301093369287,0.4273301093369285
98,11,6,random-permute,1176.0,2.0,1.1805660662933253
98,11,6,uniform,3446.9193187573305,5.862107684961447,0.5862107684961444
114,8,4,random-permute,912.0,2.0,1.1131725417439704
114,8,4,uniform,2610.104789301799,5.723914011626752,0.5723914011626754
114,8,4,nearst-neighbour,3190.4090267983074,6.996511023680498,0.701188797098529
114,8,4,shift_half,488.57142857142856,1.0714285714285714,0.1071428571428571
114,8,4,router-cluster,1751.6081239582688,3.8412458858733967,0.3841245885873398
114,8,4,shift_1,2203.999999999999,4.833333333333331,0.4833333333333332
128,12,6,uniform,4944.041841769465,6.437554481470657,0.6437554481470652
128,12,6,random-permute,1280.0000000000002,1.666666666666667,1.1371841155234657
