V,D,EPR,traffic,Phi,Phi_per_EP,i_conv
36,5,3,uniform,613.2537313432836,5.678275290215589,301
36,5,3,nearst-neighbour,1070.0,9.907407407407407,223
36,5,3,shift_1,1080.0,10.0,237
36,5,3,shift_half,384.0,3.5555555555555554,240
36,5,3,router-cluster,634.5762711864404,5.875706214689263,338
36,5,3,random-permute,270.00000000000006,2.5000000000000004,225
114,8,4,uniform,2596.96261682243,5.695093457943925,1403
114,8,4,nearst-neighbour,4550.0,9.978070175438596,690
114,8,4,shift_1,4560.0,10.0,691
114,8,4,shift_half,1520.0000000000002,3.333333333333334,830
114,8,4,router-cluster,2256.7007299270076,4.9489051094890515,2907
114,8,4,random-permute,912.0000000000002,2.0000000000000004,717
264,11,6,uniform,7923.146091761029,5.001986169041054,5999
264,11,6,nearst-neighbour,15830.0,9.993686868686869,1725
264,11,6,shift_1,15840.0,10.0,1590
264,11,6,shift_half,4911.627906976771,3.1007751937984662,1590
264,11,6,router-cluster,5979.112913134273,3.7746924956655765,15067
264,11,6,random-permute,3167.9999999999905,1.999999999999994,1895
