V,D,EPR,traffic,Phi,Phi_per_EP,i_conv
13,4,2,uniform,260.0,10.0,55
13,4,2,nearst-neighbour,250.0,9.615384615384615,94
13,4,2,shift_1,260.0,10.0,87
13,4,2,shift_half,175.1578947368421,6.736842105263158,91
13,4,2,router-cluster,208.69565217391303,8.02675585284281,89
13,4,2,random-permute,86.66666666666667,3.3333333333333335,84
31,6,3,uniform,930.0,10.0,68
31,6,3,nearst-neighbour,920.0,9.89247311827957,201
31,6,3,shift_1,930.0,10.0,197
31,6,3,shift_half,620.0,6.666666666666667,207
31,6,3,router-cluster,789.3723339427179,8.487874558523849,241
31,6,3,random-permute,232.5,2.5,207
57,8,4,uniform,2279.9999999999995,9.999999999999998,50
57,8,4,nearst-neighbour,2270.0000000000005,9.956140350877195,372
57,8,4,shift_1,2280.0,10.0,350
57,8,4,shift_half,1403.076923076923,6.153846153846154,381
57,8,4,router-cluster,1561.8348623853217,6.8501529051987795,560
57,8,4,random-permute,456.0,2.0,378
91,10,5,uniform,4549.999999999999,9.999999999999998,0
91,10,5,nearst-neighbour,4540.0,9.978021978021978,660
91,10,5,shift_1,4550.0,10.0,564
91,10,5,shift_half,2599.9999999999995,5.7142857142857135,566
91,10,5,router-cluster,3323.011282051283,7.303321499013809,1043
91,10,5,random-permute,910.0,2.0,652
133,12,6,uniform,7980.0,10.0,0
133,12,6,nearst-neighbour,7969.999999999996,9.987468671679194,947
133,12,6,shift_1,7980.0,10.0,882
133,12,6,shift_half,4152.1951219512175,5.203252032520322,915
133,12,6,router-cluster,4169.523809523809,5.2249671798543975,1334
133,12,6,random-permute,1329.9999999999995,1.666666666666666,946
183,14,7,uniform,12810.0,10.0,0
183,14,7,nearst-neighbour,12800.000000000004,9.992193598750978,1138
183,14,7,shift_1,12810.0,10.0,1107
183,14,7,shift_half,5693.333333333333,4.444444444444445,1131
183,14,7,router-cluster,6394.675280184021,4.991940109433272,1522
183,14,7,random-permute,2562.0,2.0,1141
