V,D,EPR,traffic,Phi,Phi_per_EP,i_conv
36,5,3,uniform,640.0353228071758,5.926252988955332,252
36,5,3,nearst-neighbour,1069.9999999999998,9.907407407407405,235
36,5,3,shift_1,1080.0,10.0,222
36,5,3,shift_half,451.2442396313365,4.1781874039938565,225
36,5,3,router-cluster,624.7691286621788,5.784899339464618,238
36,5,3,random-permute,270.0,2.5,231
114,8,4,uniform,3286.679566822696,7.207630628997141,1392
114,8,4,nearst-neighbour,4550.000000000001,9.978070175438598,729
114,8,4,shift_1,4559.999999999999,9.999999999999998,704
114,8,4,shift_half,1971.8918918918919,4.324324324324325,779
114,8,4,router-cluster,3288.77692302497,7.212230094353004,1054
114,8,4,random-permute,912.0,2.0,702
264,11,6,uniform,10061.858362909015,6.352183309917308,4795
264,11,6,nearst-neighbour,15829.99999999991,9.993686868686812,1658
264,11,6,shift_1,15840.0,10.0,1620
264,11,6,shift_half,6498.461538461543,4.102564102564105,1835
264,11,6,router-cluster,10250.14725576811,6.471052560459666,3265
264,11,6,random-permute,3167.999999999996,1.9999999999999973,1817
