V,D,EPR,traffic,Phi,Phi_per_EP,i_conv
18,5,3,uniform,390.0487341887674,7.223124707199396,126
18,5,3,nearst-neighbour,530.0,9.814814814814815,118
18,5,3,shift_1,540.0,10.0,119
18,5,3,shift_half,245.10638297872342,4.539007092198582,123
18,5,3,router-cluster,430.4110854503465,7.970575656487898,126
18,5,3,random-permute,180.0,3.3333333333333335,130
32,6,3,uniform,830.9964000244069,8.656212500254238,238
32,6,3,nearst-neighbour,950.0,9.895833333333334,200
32,6,3,shift_1,960.0,10.0,208
32,6,3,shift_half,491.52,5.12,212
32,6,3,router-cluster,811.9112891311129,8.457409261782425,253
32,6,3,random-permute,239.99999999999997,2.4999999999999996,209
50,7,4,uniform,1432.840938312523,7.164204691562614,425
50,7,4,nearst-neighbour,1990.0,9.95,329
50,7,4,shift_1,2000.0,10.0,313
50,7,4,shift_half,864.8648648648649,4.324324324324325,329
50,7,4,router-cluster,1399.61915125136,6.9980957562568005,385
50,7,4,random-permute,400.0,2.0,329
98,11,6,uniform,4471.613151286973,7.6047842708962134,1139
98,11,6,nearst-neighbour,5870.0,9.982993197278912,649
98,11,6,shift_1,5880.000000000002,10.000000000000004,639
98,11,6,shift_half,2808.3582089552237,4.776119402985074,697
98,11,6,router-cluster,4435.569662133112,7.543485819954272,965
98,11,6,random-permute,1176.0,2.0,663
128,12,6,uniform,6384.038357322977,8.31254994443096,1579
128,12,6,nearst-neighbour,7670.000000000001,9.986979166666668,836
128,12,6,shift_1,7680.0,10.0,927
128,12,6,shift_half,4095.9999999999995,5.333333333333333,895
128,12,6,router-cluster,6249.502916393011,8.1373735890534,1316
128,12,6,random-permute,1280.0000000000002,1.666666666666667,841
162,13,7,uniform,8687.325595445442,7.660780948364587,2247
162,13,7,nearst-neighbour,11329.99999999998,9.991181657848307,1168
162,13,7,shift_1,11339.999999999962,9.999999999999966,1043
162,13,7,shift_half,5456.842105263162,4.812030075187973,1128
162,13,7,router-cluster,8557.775115632194,7.546538902673892,1951
162,13,7,random-permute,2268.0000000000014,2.0000000000000013,1227
242,17,9,uniform,17425.4907072459,8.000684438588568,4160
242,17,9,nearst-neighbour,21770.000000000055,9.995408631772293,2118
242,17,9,shift_1,21780.0,10.0,2020
242,17,9,shift_half,11062.857142857227,5.079365079365118,2159
242,17,9,router-cluster,16917.536273001002,7.767463853535814,3626
242,17,9,random-permute,3630.0000000000045,1.6666666666666687,1883
