V,D,EPR,traffic,Phi,Phi_per_EP,i_conv
18,5,3,uniform,453.2739420935411,8.393961890621132,116
18,5,3,nearst-neighbour,530.0,9.814814814814815,117
18,5,3,shift_1,540.0,10.0,114
18,5,3,shift_half,267.90697674418607,4.96124031007752,114
18,5,3,router-cluster,480.57761732852,8.899585506083703,135
18,5,3,random-permute,179.99999999999997,3.3333333333333326,115
32,6,3,uniform,960.0,10.0,200
32,6,3,nearst-neighbour,950.0,9.895833333333334,203
32,6,3,shift_1,960.0,10.0,209
32,6,3,shift_half,568.8888888888889,5.9259259259259265,205
32,6,3,router-cluster,960.0000000000002,10.000000000000002,203
32,6,3,random-permute,240.0,2.5,198
50,7,4,uniform,1913.4615384615379,9.56730769230769,0
50,7,4,nearst-neighbour,1990.0,9.95,323
50,7,4,shift_1,2000.0,10.0,307
50,7,4,shift_half,1066.6666666666667,5.333333333333334,329
50,7,4,router-cluster,1798.165137614679,8.990825688073395,354
50,7,4,random-permute,400.0,2.0,362
98,11,6,uniform,5037.854406130264,8.567779602262354,594
98,11,6,nearst-neighbour,5870.0,9.982993197278912,681
98,11,6,shift_1,5880.0,10.0,732
98,11,6,shift_half,2613.3333333333326,4.444444444444443,641
98,11,6,router-cluster,4385.593869731799,7.458492975734352,627
98,11,6,random-permute,1175.9999999999995,1.9999999999999993,772
128,12,6,uniform,7437.575757575746,9.68434343434342,774
128,12,6,nearst-neighbour,7670.0,9.986979166666666,774
128,12,6,shift_1,7680.0,10.0,885
128,12,6,shift_half,3900.9523809523803,5.079365079365078,889
128,12,6,router-cluster,6791.1111111111,8.84259259259258,774
128,12,6,random-permute,1280.0000000000002,1.666666666666667,925
162,13,7,uniform,10488.34285714287,9.248979591836747,0
162,13,7,nearst-neighbour,11330.0,9.991181657848324,1020
162,13,7,shift_1,11340.0,10.0,1136
162,13,7,shift_half,5183.999999999997,4.571428571428569,1135
162,13,7,router-cluster,8814.918237908272,7.773296506091951,1291
162,13,7,random-permute,2268.0,2.0,1086
242,17,9,uniform,18863.923016672506,8.661121678912997,1458
242,17,9,nearst-neighbour,21770.0,9.995408631772268,1803
242,17,9,shift_1,21780.0,10.0,1812
242,17,9,shift_half,9680.000000000075,4.444444444444478,1814
242,17,9,router-cluster,15033.568318721304,6.902464792801333,1600
242,17,9,random-permute,3630.0000000000045,1.6666666666666687,1698
