V,D,EPR,traffic,Phi,Phi_per_EP
36,5,3,uniform,775.3166421207659,7.178857797414499
36,5,3,nearst-neighbour,1070.0,9.907407407407407
36,5,3,shift_1,1080.0,10.0
36,5,3,shift_half,432.00000000000006,4.000000000000001
36,5,3,router-cluster,738.9473684210525,6.842105263157894
36,5,3,random-permute,270.00000000000006,2.5000000000000004
114,8,4,uniform,3544.0376434188483,7.772012375918527
114,8,4,nearst-neighbour,4550.0,9.978070175438596
114,8,4,shift_1,4560.0,10.0
114,8,4,shift_half,1739.9202942962638,3.8156146804742628
114,8,4,router-cluster,2686.9335705812587,5.892398181099251
114,8,4,random-permute,912.0000000000002,2.0000000000000004
264,11,6,uniform,10780.851299060274,6.806092991830981
264,11,6,nearst-neighbour,15830.0,9.993686868686869
264,11,6,shift_1,15840.0,10.0
264,11,6,shift_half,5540.000000000001,3.497474747474748
264,11,6,router-cluster,7532.558139534892,4.755402865867987
264,11,6,random-permute,3167.9999999999905,1.999999999999994
