V,D,EPR,traffic,Phi,Phi_per_EP
13,4,2,uniform,260.0,10.0
13,4,2,nearst-neighbour,250.0,9.615384615384615
13,4,2,shift_1,260.0,10.0
13,4,2,shift_half,195.0,7.5
13,4,2,router-cluster,240.0,9.23076923076923
13,4,2,random-permute,86.66666666666667,3.3333333333333335
31,6,3,uniform,930.0,10.0
31,6,3,nearst-neighbour,920.0,9.89247311827957
31,6,3,shift_1,930.0,10.0
31,6,3,shift_half,725.1451963897115,7.797260176233457
31,6,3,router-cluster,920.0,9.89247311827957
31,6,3,random-permute,232.5,2.5
57,8,4,uniform,2279.9999999999995,9.999999999999998
57,8,4,nearst-neighbour,2270.0000000000005,9.956140350877195
57,8,4,shift_1,2280.0,10.0
57,8,4,shift_half,1759.7598879482875,7.718245122580209
57,8,4,router-cluster,2224.329218106996,9.755829903978052
57,8,4,random-permute,456.0,2.0
91,10,5,uniform,4549.999999999999,9.999999999999998
91,10,5,nearst-neighbour,4540.0,9.978021978021978
91,10,5,shift_1,4550.0,10.0
91,10,5,shift_half,3421.611051120208,7.52002428817628
91,10,5,router-cluster,4475.00057115241,9.835166090444858
91,10,5,random-permute,910.0,2.0
133,12,6,uniform,7980.0,10.0
133,12,6,nearst-neighbour,7969.999999999996,9.987468671679194
133,12,6,shift_1,7980.0,10.0
133,12,6,shift_half,5880.4085388123995,7.368933006030575
133,12,6,router-cluster,7681.797432239657,9.626312571728894
133,12,6,random-permute,1329.9999999999995,1.666666666666666
183,14,7,uniform,12810.0,10.0
183,14,7,nearst-neighbour,12800.000000000004,9.992193598750978
183,14,7,shift_1,12810.0,10.0
183,14,7,shift_half,9389.780122019954,7.3300391272599175
183,14,7,router-cluster,12455.392293187364,9.723178995462423
183,14,7,random-permute,2562.0,2.0
