V,D,EPR,traffic,Phi,Phi_per_EP
36,5,3,uniform,750.3896103896108,6.948051948051951
36,5,3,nearst-neighbour,1069.9999999999998,9.907407407407405
36,5,3,shift_1,1080.0,10.0
36,5,3,shift_half,551.2240184757505,5.10392609699769
36,5,3,router-cluster,738.9473684210525,6.842105263157894
36,5,3,random-permute,270.0,2.5
114,8,4,uniform,3696.199524940614,8.105700712589066
114,8,4,nearst-neighbour,4550.000000000001,9.978070175438598
114,8,4,shift_1,4559.999999999999,9.999999999999998
114,8,4,shift_half,2682.250962181941,5.882129303030572
114,8,4,router-cluster,3754.182857142857,8.232857142857142
114,8,4,random-permute,912.0,2.0
264,11,6,uniform,11277.160602580198,7.119419572335984
264,11,6,nearst-neighbour,15829.99999999991,9.993686868686812
264,11,6,shift_1,15840.0,10.0
264,11,6,shift_half,8618.092038283496,5.44071467063352
264,11,6,router-cluster,11377.709648331864,7.182897505260015
264,11,6,random-permute,3167.999999999996,1.9999999999999973
