V,D,EPR,traffic,Phi,Phi_per_EP
13,4,2,uniform,260.0,10.0
13,4,2,nearst-neighbour,250.0,9.615384615384615
13,4,2,shift_1,260.0,10.0
13,4,2,shift_half,207.99999999999994,7.999999999999998
13,4,2,router-cluster,240.0,9.23076923076923
13,4,2,random-permute,86.66666666666667,3.3333333333333335
31,6,3,uniform,929.9999999999997,9.999999999999996
31,6,3,nearst-neighbour,920.0,9.89247311827957
31,6,3,shift_1,930.0,10.0
31,6,3,shift_half,667.6923076923074,7.179487179487176
31,6,3,router-cluster,920.0,9.89247311827957
31,6,3,random-permute,232.5,2.5
57,8,4,uniform,2168.54748603352,9.511173184357544
57,8,4,nearst-neighbour,2270.0,9.956140350877194
57,8,4,shift_1,2280.0000000000005,10.000000000000002
57,8,4,shift_half,1674.8133354096035,7.345672523726331
57,8,4,router-cluster,2191.5403447674857,9.612019055997745
57,8,4,random-permute,456.0,2.0
91,10,5,uniform,4213.824254651427,9.261152208025113
91,10,5,nearst-neighbour,4540.000000000003,9.978021978021983
91,10,5,shift_1,4550.0,10.0
91,10,5,shift_half,3368.2992923125544,7.402855587500119
91,10,5,router-cluster,4314.308230852409,9.481996111763536
91,10,5,random-permute,909.9999999999997,1.9999999999999993
133,12,6,uniform,7262.586544405515,9.10098564461844
133,12,6,nearst-neighbour,7970.000000000002,9.987468671679201
133,12,6,shift_1,7980.000000000001,10.000000000000002
133,12,6,shift_half,5897.753005763724,7.390667927022211
133,12,6,router-cluster,7447.311606337754,9.332470684633776
133,12,6,random-permute,1329.9999999999995,1.666666666666666
183,14,7,uniform,11516.595470299028,8.990316526384877
183,14,7,nearst-neighbour,12800.000000000005,9.99219359875098
183,14,7,shift_1,12810.0,10.0
183,14,7,shift_half,9288.034772422894,7.250612624842228
183,14,7,router-cluster,11729.457350499055,9.15648505113119
183,14,7,random-permute,2561.9999999999914,1.9999999999999933
