V,D,EPR,traffic,Phi,Phi_per_EP
18,5,3,uniform,440.3076923076923,8.153846153846153
18,5,3,nearst-neighbour,530.0,9.814814814814815
18,5,3,shift_1,540.0,10.0
18,5,3,shift_half,299.99999999999994,5.5555555555555545
18,5,3,router-cluster,483.38028169014086,8.95148669796557
18,5,3,random-permute,180.0,3.3333333333333335
32,6,3,uniform,960.0000000000001,10.000000000000002
32,6,3,nearst-neighbour,950.0,9.895833333333334
32,6,3,shift_1,960.0,10.0
32,6,3,shift_half,597.3333333333333,6.222222222222221
32,6,3,router-cluster,959.9999999999999,9.999999999999998
32,6,3,random-permute,239.99999999999997,2.4999999999999996
50,7,4,uniform,1645.793950850662,8.22896975425331
50,7,4,nearst-neighbour,1990.0,9.95
50,7,4,shift_1,2000.0,10.0
50,7,4,shift_half,1136.4945840055311,5.682472920027656
50,7,4,router-cluster,1674.965476901687,8.374827384508436
50,7,4,random-permute,400.0,2.0
98,11,6,uniform,5072.88930336049,8.62736276081716
98,11,6,nearst-neighbour,5870.0,9.982993197278912
98,11,6,shift_1,5880.000000000002,10.000000000000004
98,11,6,shift_half,3609.5927978181744,6.1387632615955345
98,11,6,router-cluster,5187.943458251147,8.823033092263856
98,11,6,random-permute,1176.0,2.0
128,12,6,uniform,7045.597667638486,9.173955296404278
128,12,6,nearst-neighbour,7670.000000000001,9.986979166666668
128,12,6,shift_1,7680.0,10.0
128,12,6,shift_half,5146.982912753329,6.701800667647564
128,12,6,router-cluster,7162.319497996523,9.32593684634964
128,12,6,random-permute,1280.0000000000002,1.666666666666667
162,13,7,uniform,9475.141582508117,8.355504041012448
162,13,7,nearst-neighbour,11329.99999999998,9.991181657848307
162,13,7,shift_1,11339.999999999962,9.999999999999966
162,13,7,shift_half,7003.613565288453,6.176026071682939
162,13,7,router-cluster,9681.349886163487,8.537345578627413
162,13,7,random-permute,2268.0000000000014,2.0000000000000013
