V,D,EPR,traffic,Phi,Phi_per_EP
18,5,3,uniform,454.2857142857142,8.412698412698411
18,5,3,nearst-neighbour,530.0,9.814814814814815
18,5,3,shift_1,540.0,10.0
18,5,3,shift_half,300.00000000000006,5.555555555555556
18,5,3,router-cluster,505.945945945946,9.36936936936937
18,5,3,random-permute,179.99999999999997,3.3333333333333326
32,6,3,uniform,960.0,10.0
32,6,3,nearst-neighbour,950.0,9.895833333333334
32,6,3,shift_1,960.0,10.0
32,6,3,shift_half,640.0,6.666666666666667
32,6,3,router-cluster,960.0000000000002,10.000000000000002
32,6,3,random-permute,240.0,2.5
50,7,4,uniform,1913.4615384615379,9.56730769230769
50,7,4,nearst-neighbour,1990.0,9.95
50,7,4,shift_1,2000.0,10.0
50,7,4,shift_half,1166.6666666666615,5.833333333333307
50,7,4,router-cluster,1914.0624999999995,9.570312499999998
50,7,4,random-permute,400.0,2.0
98,11,6,uniform,5046.140350877187,8.58187134502923
98,11,6,nearst-neighbour,5870.0,9.982993197278912
98,11,6,shift_1,5880.0,10.0
98,11,6,shift_half,2939.9999999999977,4.9999999999999964
98,11,6,router-cluster,4636.851851851852,7.885802469135803
98,11,6,random-permute,1175.9999999999995,1.9999999999999993
128,12,6,uniform,7437.575757575746,9.68434343434342
128,12,6,nearst-neighbour,7670.0,9.986979166666666
128,12,6,shift_1,7680.0,10.0
128,12,6,shift_half,4266.666666666666,5.5555555555555545
128,12,6,router-cluster,6791.111111111098,8.842592592592576
128,12,6,random-permute,1280.0000000000002,1.666666666666667
162,13,7,uniform,10488.34285714287,9.248979591836747
162,13,7,nearst-neighbour,11330.0,9.991181657848324
162,13,7,shift_1,11340.0,10.0
162,13,7,shift_half,5940.000000000001,5.238095238095239
162,13,7,router-cluster,9199.357072831353,8.112307824366273
162,13,7,random-permute,2268.0,2.0
