V,D,EPR,traffic,Phi,Phi_per_EP
36,5,3,uniform,730.7317073170733,6.766034327009938
36,5,3,nearst-neighbour,1070.0,9.907407407407407
36,5,3,shift_1,540.0,5.0
36,5,3,shift_half,180.0,1.6666666666666667
36,5,3,router-cluster,259.99999999999994,2.407407407407407
36,5,3,random-permute,270.00000000000006,2.5000000000000004
114,8,4,uniform,3391.901408450704,7.43838028169014
114,8,4,nearst-neighbour,4550.0,9.978070175438596
114,8,4,shift_1,2280.0,5.0
114,8,4,shift_half,380.0,0.8333333333333334
114,8,4,router-cluster,1047.3170731707319,2.2967479674796754
114,8,4,random-permute,912.0000000000002,2.0000000000000004
264,11,6,uniform,10445.710857828451,6.594514430447255
264,11,6,nearst-neighbour,15830.0,9.993686868686869
264,11,6,shift_1,7920.0,5.0
264,11,6,shift_half,1320.0000000000073,0.8333333333333379
264,11,6,router-cluster,3049.1228070175453,1.9249512670565312
264,11,6,random-permute,2639.999999999992,1.6666666666666614
