V,D,EPR,traffic,Phi,Phi_per_EP
13,4,2,random-permute,86.66666666666667,3.333333333333333
13,4,2,shift_half,130.0,5.0
13,4,2,shift_1,130.0,5.0
13,4,2,nearst-neighbour,166.66666666666669,6.410256410256411
13,4,2,uniform,256.57894736842104,9.86842105263158
13,4,2,router-cluster,100.0,3.846153846153847
18,5,3,uniform,414.7826086956522,7.681159420289855
18,5,3,nearst-neighbour,530.0,9.814814814814817
18,5,3,shift_1,540.0,10.0
18,5,3,shift_half,179.99999999999997,3.3333333333333326
18,5,3,router-cluster,346.6666666666667,6.419753086419753
18,5,3,random-permute,135.0,2.5
31,6,3,random-permute,232.5,2.5
31,6,3,router-cluster,749.6296296296296,8.0605336519315
31,6,3,shift_half,310.00000000000006,3.333333333333334
31,6,3,shift_1,930.0,9.999999999999998
31,6,3,nearst-neighbour,920.0,9.89247311827957
31,6,3,uniform,898.2677165354331,9.658792650918636
32,6,3,random-permute,240.0,2.5
32,6,3,nearst-neighbour,633.3333333333333,6.597222222222221
32,6,3,shift_1,480.0,5.0
32,6,3,shift_half,160.0,1.6666666666666667
32,6,3,uniform,921.2121212121212,9.595959595959595
32,6,3,router-cluster,613.3333333333333,6.388888888888888
36,5,3,uniform,728.2388059701494,6.7429519071310136
36,5,3,nearst-neighbour,1069.9999999999998,9.907407407407405
36,5,3,shift_1,540.0,5.0
36,5,3,shift_half,180.0,1.6666666666666667
36,5,3,router-cluster,623.9999999999999,5.777777777777777
36,5,3,random-permute,270.0,2.5
50,7,4,random-permute,400.0,2.0
50,7,4,shift_half,250.0,1.25
50,7,4,shift_1,1000.0,5.0
50,7,4,nearst-neighbour,1326.6666666666667,6.633333333333334
50,7,4,uniform,1645.7939508506613,8.228969754253306
50,7,4,router-cluster,1113.6363636363635,5.5681818181818175
57,8,4,shift_1,2280.0000000000005,10.000000000000002
57,8,4,router-cluster,1595.9999999999995,6.999999999999998
57,8,4,shift_half,570.0,2.5
57,8,4,nearst-neighbour,2270.0,9.956140350877194
57,8,4,uniform,2168.5474860335207,9.511173184357547
57,8,4,random-permute,456.0,2.0
91,10,5,nearst-neighbour,4540.000000000003,9.978021978021983
91,10,5,shift_1,4550.0,10.0
91,10,5,shift_half,568.75,1.25
91,10,5,router-cluster,3374.9333333333334,7.417435897435897
91,10,5,random-permute,909.9999999999995,1.9999999999999996
91,10,5,uniform,4213.824254651427,9.261152208025113
98,11,6,shift_1,2940.000000000001,5.000000000000002
98,11,6,nearst-neighbour,5870.0,9.982993197278912
98,11,6,shift_half,489.9999999999999,0.8333333333333331
98,11,6,router-cluster,3406.6666666666665,5.7936507936507935
98,11,6,random-permute,1176.0,2.0
98,11,6,uniform,5072.88930336049,8.62736276081716
114,8,4,random-permute,912.0,2.0
114,8,4,uniform,3696.1995249406136,8.105700712589066
114,8,4,nearst-neighbour,4550.000000000001,9.978070175438598
114,8,4,shift_half,570.0,1.25
114,8,4,router-cluster,2927.727272727273,6.420454545454547
114,8,4,shift_1,2279.9999999999995,4.999999999999999
128,12,6,uniform,7045.597667638487,9.17395529640428
128,12,6,random-permute,1280.0000000000002,1.666666666666667
128,12,6,router-cluster,5093.333333333334,6.6319444444444455
128,12,6,shift_half,1280.0,1.6666666666666667
128,12,6,shift_1,3840.0,5.0
128,12,6,nearst-neighbour,5113.333333333334,6.657986111111112
133,12,6,random-permute,1329.9999999999995,1.666666666666666
133,12,6,uniform,7262.586544405514,9.100985644618438
133,12,6,router-cluster,5472.5,6.8577694235588975
133,12,6,shift_half,1329.9999999999984,1.6666666666666647
133,12,6,shift_1,3990.000000000001,5.000000000000001
133,12,6,nearst-neighbour,5313.333333333334,6.658312447786133
162,13,7,nearst-neighbour,11329.99999999998,9.991181657848308
162,13,7,uniform,9475.141582508117,8.355504041012448
162,13,7,router-cluster,6514.775510204076,5.744951949033577
162,13,7,random-permute,1890.000000000001,1.6666666666666676
162,13,7,shift_1,11339.999999999962,9.999999999999966
162,13,7,shift_half,810.0000000000006,0.7142857142857147
183,14,7,random-permute,2561.999999999992,1.9999999999999931
183,14,7,uniform,11516.595470299026,8.990316526384875
183,14,7,nearst-neighbour,12800.000000000004,9.99219359875098
183,14,7,shift_1,6405.0,5.0
183,14,7,shift_half,1601.2500000000025,1.250000000000002
183,14,7,router-cluster,9258.956916099753,7.227913283450236
242,17,9,shift_1,10890.0,5.0
242,17,9,nearst-neighbour,14513.333333333369,6.663605754514862
242,17,9,uniform,18738.069958847707,8.603337905807027
242,17,9,shift_half,1210.000000000009,0.5555555555555598
242,17,9,random-permute,3630.000000000005,1.6666666666666687
242,17,9,router-cluster,16208.065843621442,7.441719854738954
264,11,6,nearst-neighbour,15829.99999999991,9.993686868686812
264,11,6,shift_half,1320.000000000001,0.8333333333333339
264,11,6,router-cluster,11377.70964833189,7.182897505260031
264,11,6,random-permute,3167.999999999996,1.9999999999999971
264,11,6,uniform,11277.1606025802,7.1194195723359845
264,11,6,shift_1,7920.0,5.0
