V,D,EPR,traffic,Phi,Phi_per_EP
36,5,3,uniform,728.2388059701494,6.7429519071310136
36,5,3,nearst-neighbour,1069.9999999999998,9.907407407407405
36,5,3,shift_1,540.0,5.0
36,5,3,shift_half,180.0,1.6666666666666667
36,5,3,router-cluster,623.9999999999999,5.777777777777777
36,5,3,random-permute,270.0,2.5
114,8,4,uniform,3696.1995249406136,8.105700712589066
114,8,4,nearst-neighbour,4550.000000000001,9.978070175438598
114,8,4,shift_1,2279.9999999999995,4.999999999999999
114,8,4,shift_half,570.0,1.25
114,8,4,router-cluster,2927.7272727272734,6.420454545454547
114,8,4,random-permute,912.0,2.0
264,11,6,uniform,11277.1606025802,7.1194195723359845
264,11,6,nearst-neighbour,15829.99999999991,9.993686868686812
264,11,6,shift_1,7920.0,5.0
264,11,6,shift_half,1320.000000000001,0.8333333333333339
264,11,6,router-cluster,11377.70964833189,7.182897505260031
264,11,6,random-permute,3167.999999999996,1.9999999999999973
