V,D,EPR,traffic,Phi,Phi_per_EP
13,4,2,uniform,256.57894736842104,9.868421052631579
13,4,2,nearst-neighbour,166.66666666666669,6.410256410256411
13,4,2,shift_1,130.0,5.0
13,4,2,shift_half,130.0,5.0
13,4,2,router-cluster,100.00000000000001,3.8461538461538467
13,4,2,random-permute,86.66666666666667,3.3333333333333335
31,6,3,uniform,898.2677165354331,9.658792650918636
31,6,3,nearst-neighbour,920.0,9.89247311827957
31,6,3,shift_1,929.9999999999999,9.999999999999998
31,6,3,shift_half,310.00000000000006,3.333333333333334
31,6,3,router-cluster,749.6296296296296,8.0605336519315
31,6,3,random-permute,232.5,2.5
57,8,4,uniform,2168.5474860335207,9.511173184357547
57,8,4,nearst-neighbour,2270.0,9.956140350877194
57,8,4,shift_1,2280.0000000000005,10.000000000000002
57,8,4,shift_half,570.0,2.5
57,8,4,router-cluster,1595.9999999999995,6.999999999999998
57,8,4,random-permute,456.0,2.0
91,10,5,uniform,4213.824254651427,9.261152208025113
91,10,5,nearst-neighbour,4540.000000000003,9.978021978021983
91,10,5,shift_1,4550.0,10.0
91,10,5,shift_half,568.75,1.25
91,10,5,router-cluster,3374.9333333333334,7.417435897435897
91,10,5,random-permute,909.9999999999997,1.9999999999999993
133,12,6,uniform,7262.586544405514,9.100985644618438
133,12,6,nearst-neighbour,5313.333333333334,6.658312447786133
133,12,6,shift_1,3990.0000000000005,5.000000000000001
133,12,6,shift_half,1329.9999999999984,1.6666666666666647
133,12,6,router-cluster,5472.5,6.8577694235588975
133,12,6,random-permute,1329.9999999999995,1.666666666666666
183,14,7,uniform,11516.595470299026,8.990316526384875
183,14,7,nearst-neighbour,12800.000000000005,9.99219359875098
183,14,7,shift_1,6405.0,5.0
183,14,7,shift_half,1601.2500000000025,1.250000000000002
183,14,7,router-cluster,9258.956916099753,7.227913283450236
183,14,7,random-permute,2561.9999999999914,1.9999999999999933
