V,D,EPR,traffic,Phi,Phi_per_EP
18,5,3,uniform,414.7826086956522,7.681159420289855
18,5,3,nearst-neighbour,530.0,9.814814814814815
18,5,3,shift_1,540.0,10.0
18,5,3,shift_half,179.99999999999997,3.3333333333333326
18,5,3,router-cluster,346.6666666666667,6.419753086419753
18,5,3,random-permute,135.0,2.5
32,6,3,uniform,921.2121212121212,9.595959595959597
32,6,3,nearst-neighbour,633.3333333333333,6.597222222222221
32,6,3,shift_1,480.0,5.0
32,6,3,shift_half,160.0,1.6666666666666667
32,6,3,router-cluster,613.3333333333333,6.388888888888888
32,6,3,random-permute,239.99999999999997,2.4999999999999996
50,7,4,uniform,1645.7939508506613,8.228969754253306
50,7,4,nearst-neighbour,1326.6666666666667,6.633333333333334
50,7,4,shift_1,1000.0,5.0
50,7,4,shift_half,250.0,1.25
50,7,4,router-cluster,1113.6363636363635,5.5681818181818175
50,7,4,random-permute,400.0,2.0
98,11,6,uniform,5072.88930336049,8.62736276081716
98,11,6,nearst-neighbour,5870.0,9.982993197278912
98,11,6,shift_1,2940.000000000001,5.000000000000002
98,11,6,shift_half,489.9999999999999,0.8333333333333331
98,11,6,router-cluster,3406.6666666666665,5.7936507936507935
98,11,6,random-permute,1176.0,2.0
128,12,6,uniform,7045.597667638487,9.17395529640428
128,12,6,nearst-neighbour,5113.333333333334,6.657986111111112
128,12,6,shift_1,3840.0,5.0
128,12,6,shift_half,1280.0,1.6666666666666667
128,12,6,router-cluster,5093.333333333334,6.6319444444444455
128,12,6,random-permute,1280.0000000000002,1.666666666666667
162,13,7,uniform,9475.141582508117,8.355504041012448
162,13,7,nearst-neighbour,11329.99999999998,9.991181657848307
162,13,7,shift_1,11339.999999999962,9.999999999999966
162,13,7,shift_half,810.0000000000006,0.7142857142857147
162,13,7,router-cluster,6514.775510204076,5.744951949033577
162,13,7,random-permute,1890.0000000000011,1.6666666666666676
242,17,9,uniform,18738.069958847707,8.603337905807027
242,17,9,nearst-neighbour,14513.333333333369,6.663605754514862
242,17,9,shift_1,10890.0,5.0
242,17,9,shift_half,1210.0000000000093,0.5555555555555598
242,17,9,router-cluster,16208.065843621442,7.441719854738954
242,17,9,random-permute,3630.0000000000045,1.6666666666666687
