V,D,EPR,traffic,Phi,Phi_per_EP
13,4,2,uniform,260.0,10.0
13,4,2,nearst-neighbour,250.0,9.615384615384615
13,4,2,shift_1,260.0,10.0
13,4,2,shift_half,195.0,7.5
13,4,2,router-cluster,240.0,9.23076923076923
13,4,2,random-permute,86.66666666666667,3.3333333333333335
31,6,3,uniform,930.0,10.0
31,6,3,nearst-neighbour,920.0,9.89247311827957
31,6,3,shift_1,930.0,10.0
31,6,3,shift_half,725.1794624175118,7.797628628145288
31,6,3,router-cluster,920.0,9.89247311827957
31,6,3,random-permute,232.5,2.5
57,8,4,uniform,2279.9999999999995,9.999999999999998
57,8,4,nearst-neighbour,2270.0000000000005,9.956140350877195
57,8,4,shift_1,2280.0,10.0
57,8,4,shift_half,1759.8696711556197,7.718726627875525
57,8,4,router-cluster,2224.329218106996,9.755829903978052
57,8,4,random-permute,456.0,2.0
