V,D,EPR,traffic,Phi,Phi_per_EP
13,4,2,router-cluster,240.0,9.23076923076923
13,4,2,uniform,260.0,10.0
13,4,2,nearst-neighbour,250.0,9.615384615384617
13,4,2,shift_1,260.0,10.0
13,4,2,shift_half,208.0,8.0
13,4,2,random-permute,86.66666666666667,3.333333333333333
18,5,3,uniform,440.3076923076923,8.153846153846153
18,5,3,nearst-neighbour,530.0,9.814814814814817
18,5,3,random-permute,180.0,3.333333333333333
18,5,3,router-cluster,483.38028169014063,8.951486697965567
18,5,3,shift_half,299.99999999999994,5.5555555555555545
18,5,3,shift_1,540.0,10.0
31,6,3,random-permute,232.5,2.5
31,6,3,shift_half,667.6923076923078,7.1794871794871815
31,6,3,router-cluster,920.0,9.89247311827957
31,6,3,nearst-neighbour,920.0,9.89247311827957
31,6,3,uniform,929.9999999999995,9.999999999999996
31,6,3,shift_1,930.0,10.0
32,6,3,router-cluster,960.0,9.999999999999998
32,6,3,uniform,960.0,10.000000000000002
32,6,3,nearst-neighbour,950.0,9.895833333333334
32,6,3,random-permute,240.0,2.5
32,6,3,shift_half,597.3333333333333,6.222222222222221
32,6,3,shift_1,960.0,10.0
36,5,3,random-permute,270.0,2.5
36,5,3,router-cluster,738.9473684210524,6.842105263157892
36,5,3,shift_half,551.9999999999999,5.11111111111111
36,5,3,shift_1,1080.0,10.0
36,5,3,nearst-neighbour,1069.9999999999998,9.907407407407405
36,5,3,uniform,750.3896103896108,6.948051948051951
50,7,4,nearst-neighbour,1990.0,9.95
50,7,4,shift_1,2000.0,10.0
50,7,4,shift_half,1139.9999999999998,5.699999999999999
50,7,4,uniform,1645.793950850662,8.22896975425331
50,7,4,random-permute,400.0,2.0
50,7,4,router-cluster,1674.9654769016863,8.374827384508432
57,8,4,router-cluster,2191.5403244791246,9.612018967013704
57,8,4,shift_half,1676.5459848522796,7.353271863387191
57,8,4,nearst-neighbour,2270.0,9.956140350877194
57,8,4,uniform,2168.54748603352,9.511173184357544
57,8,4,random-permute,456.0,2.0
57,8,4,shift_1,2280.0000000000005,10.000000000000002
