V,D,EPR,traffic,Phi,Phi_per_EP
13,4,2,uniform,260.0,10.0
13,4,2,nearst-neighbour,250.0,9.615384615384615
13,4,2,shift_1,260.0,10.0
13,4,2,shift_half,208.0,8.0
13,4,2,router-cluster,240.0,9.23076923076923
13,4,2,random-permute,86.66666666666667,3.3333333333333335
31,6,3,uniform,929.9999999999997,9.999999999999996
31,6,3,nearst-neighbour,920.0,9.89247311827957
31,6,3,shift_1,930.0,10.0
31,6,3,shift_half,667.6923076923078,7.1794871794871815
31,6,3,router-cluster,920.0,9.89247311827957
31,6,3,random-permute,232.5,2.5
57,8,4,uniform,2168.54748603352,9.511173184357544
57,8,4,nearst-neighbour,2270.0,9.956140350877194
57,8,4,shift_1,2280.0000000000005,10.000000000000002
57,8,4,shift_half,1676.5459848522796,7.353271863387191
57,8,4,router-cluster,2191.5403244791246,9.612018967013704
57,8,4,random-permute,456.0,2.0
