V,D,EPR,traffic,Phi,Phi_per_EP
18,5,3,uniform,440.3076923076923,8.153846153846153
18,5,3,nearst-neighbour,530.0,9.814814814814815
18,5,3,shift_1,540.0,10.0
18,5,3,shift_half,299.99999999999994,5.5555555555555545
18,5,3,router-cluster,483.38028169014063,8.951486697965567
18,5,3,random-permute,180.0,3.3333333333333335
32,6,3,uniform,960.0000000000001,10.000000000000002
32,6,3,nearst-neighbour,950.0,9.895833333333334
32,6,3,shift_1,960.0,10.0
32,6,3,shift_half,597.3333333333333,6.222222222222221
32,6,3,router-cluster,959.9999999999999,9.999999999999998
32,6,3,random-permute,239.99999999999997,2.4999999999999996
50,7,4,uniform,1645.793950850662,8.22896975425331
50,7,4,nearst-neighbour,1990.0,9.95
50,7,4,shift_1,2000.0,10.0
50,7,4,shift_half,1139.9999999999998,5.699999999999999
50,7,4,router-cluster,1674.9654769016863,8.374827384508432
50,7,4,random-permute,400.0,2.0
