V,D,EPR,traffic,Phi,Phi_per_EP
18,5,3,uniform,454.28571428571416,8.412698412698411
18,5,3,nearst-neighbour,530.0,9.814814814814815
18,5,3,shift_1,540.0,10.0
18,5,3,shift_half,300.0,5.555555555555555
18,5,3,router-cluster,505.94594594594594,9.36936936936937
18,5,3,random-permute,179.99999999999997,3.3333333333333326
32,6,3,uniform,960.0,10.0
32,6,3,nearst-neighbour,950.0,9.895833333333334
32,6,3,shift_1,960.0,10.0
32,6,3,shift_half,640.0,6.666666666666667
32,6,3,router-cluster,960.0000000000002,10.000000000000002
32,6,3,random-permute,240.0,2.5
50,7,4,uniform,1913.4615384615372,9.567307692307686
50,7,4,nearst-neighbour,1990.0,9.95
50,7,4,shift_1,2000.0,10.0
50,7,4,shift_half,1166.666666666667,5.833333333333335
50,7,4,router-cluster,1914.0625,9.5703125
50,7,4,random-permute,400.0,2.0
