V,D,traffic_pattern,Lcore_MAX_ECMP_ASP,Laccess_MAX_ECMP_ASP,Phi_ECMP_ASP[GBps],Lcore_NEXU_MP_ASP,Phi_NEXU[GBps],init_time[s],solving_time[s],peak_RAM[MB]
16,5,uniform,10.0,6.68393519223932,320.82888922748737,7.5630601304835645,424.2051282051281,0.07886099815368652,0.01141047477722168,0.25759
16,5,shift_1,9.999999999999998,2.2222222222222223,106.66666666666667,10.0,106.66666666666666,0.05549263954162598,0.006880044937133789,0.444377
16,5,shift_quater,9.999999999999998,1.5555555555555554,74.66666666666667,9.333333333333332,80.0,0.055748701095581055,0.006800651550292969,0.473154
16,5,shift_half,10.000000000000002,2.857142857142857,137.14285714285714,8.571428571428573,160.0,0.05553555488586426,0.006711483001708984,0.498244
16,5,diagonal_1,10.0,3.636363636363636,174.54545454545453,8.181818181818182,213.33333333333331,0.0559382438659668,0.0068590641021728516,0.498244
16,5,diagonal_quater,10.0,2.5225225225225225,121.08108108108108,7.5675675675675675,160.0,0.05777311325073242,0.007021903991699219,0.498244
16,5,diagonal_half,10.000000000000002,2.857142857142857,137.14285714285714,8.571428571428573,160.0,0.05734109878540039,0.0069141387939453125,0.554978
25,6,uniform,10.000000000000004,6.158418784366176,461.881408827463,6.647347302719574,694.8356807511735,0.1713089942932129,0.051695823669433594,1.343784
25,6,shift_1,10.0,2.0,150.0,6.0,250.0,0.1713578701019287,0.016907691955566406,1.382072
25,6,shift_quater,10.000000000000002,1.9607843137254903,147.05882352941177,5.882352941176471,250.00000000000006,0.175278902053833,0.016835927963256836,1.417833
25,6,shift_half,10.000000000000002,2.4137931034482762,181.03448275862067,7.241379310344829,249.99999999999994,0.17275595664978027,0.016863346099853516,1.453507
25,6,diagonal_1,10.0,3.3333333333333335,250.0,10.0,250.0,0.17110586166381836,0.016132116317749023,1.489117
25,6,diagonal_quater,10.0,3.3333333333333335,250.0,10.0,250.0,0.1716928482055664,0.016161680221557617,1.524711
