topo,V,D,EPR,traffic,ave_phi
DDF,36,5,3,uniform,5.150421179302042
DDF,36,5,3,shift-half,1.6666666666666667
DDF,36,5,3,nearst-neighbour,9.907407407407407
DDF,36,5,3,shift-1,5.0
DDF,36,5,3,router-cluster,2.088353413654618
DDF,36,5,3,random-permute,10.0
DDF,114,8,4,uniform,5.322052401746714
DDF,114,8,4,shift-half,0.8333333333333334
DDF,114,8,4,nearst-neighbour,9.978070175438596
DDF,114,8,4,shift-1,5.0
DDF,114,8,4,router-cluster,2.0323741007194265
DDF,114,8,4,random-permute,10.0
DDF,264,11,6,uniform,4.623324821842821
DDF,264,11,6,shift-half,0.6944444444444482
DDF,264,11,6,nearst-neighbour,9.993686868686869
DDF,264,11,6,shift-1,5.0
DDF,264,11,6,router-cluster,1.747169143665958
DDF,264,11,6,random-permute,10.0
Slimfly,18,5,3,uniform,8.412698412698415
Slimfly,18,5,3,shift-half,3.3333333333333335
Slimfly,18,5,3,nearst-neighbour,9.814814814814815
Slimfly,18,5,3,shift-1,10.0
Slimfly,18,5,3,router-cluster,5.502645502645504
Slimfly,18,5,3,random-permute,10.0
Slimfly,32,6,3,uniform,10.0
Slimfly,32,6,3,shift-half,1.6666666666666667
Slimfly,32,6,3,nearst-neighbour,9.895833333333334
Slimfly,32,6,3,shift-1,10.0
Slimfly,32,6,3,router-cluster,10.000000000000002
Slimfly,32,6,3,random-permute,10.0
Slimfly,50,7,4,uniform,9.567307692307692
Slimfly,50,7,4,shift-half,2.5
Slimfly,50,7,4,nearst-neighbour,9.95
Slimfly,50,7,4,shift-1,5.0
Slimfly,50,7,4,router-cluster,7.65625
Slimfly,50,7,4,random-permute,10.0
Slimfly,98,11,6,uniform,8.581871345029237
Slimfly,98,11,6,shift-half,1.6666666666666663
Slimfly,98,11,6,nearst-neighbour,9.982993197278912
Slimfly,98,11,6,shift-1,10.0
Slimfly,98,11,6,router-cluster,6.759259259259259
Slimfly,98,11,6,random-permute,10.0
Slimfly,128,12,6,uniform,9.684343434343424
Slimfly,128,12,6,shift-half,0.8333333333333334
Slimfly,128,12,6,nearst-neighbour,9.986979166666666
Slimfly,128,12,6,shift-1,10.0
