topo,V,D,EPR,traffic,ave_phi,std_phi,ave_time[s],std_time[s],ave_PeakRAM[B],std_PeakRAM[B]
DDF,36,5,3,uniform,7.178857797414499,0.0,0.23411664962768555,0.000770511243662963,1746027.2,7198.350033167323
DDF,36,5,3,shift-half,4.000000000000001,0.0,0.22377395629882812,0.036316270391632884,1742865.6,53.48644688142969
DDF,36,5,3,nearst-neighbour,9.907407407407407,0.0,0.19561357498168946,0.027122162598122296,1749281.6,8813.428663125378
DDF,36,5,3,shift-1,10.0,0.0,0.18149738311767577,0.0010508164571573534,1752456,8807.384174657082
DDF,36,5,3,router-cluster,6.842105263157892,0.0,0.2015988826751709,0.0011398508265439524,1752456,8807.384174657082
DDF,36,5,3,random-permute,10.0,0.0,0.201165771484375,0.03208996034065979,1746062.4,7178.807477568959
DDF,114,8,4,uniform,7.772012375918524,0.0,10.099340438842773,0.19395908292055497,41759588.8,10.73312629199899
DDF,114,8,4,shift-half,3.815614680474262,0.0,4.955470323562622,0.12891056909736626,41759588.8,10.73312629199899
DDF,114,8,4,nearst-neighbour,9.978070175438596,0.0,5.069519138336181,0.12239397741560275,41759588.8,10.73312629199899
DDF,114,8,4,shift-1,10.0,0.0,4.891620826721192,0.18714719459045115,41759588.8,10.73312629199899
DDF,114,8,4,router-cluster,5.892398181099249,0.0,6.440792989730835,0.051568015331381584,41759588.8,10.73312629199899
DDF,114,8,4,random-permute,10.0,0.0,5.009896850585937,0.12267637011473106,41759588.8,10.73312629199899
DDF,264,11,6,uniform,6.80609299183098,0.0,211.62858366966248,2.4799375287939873,368827908.8,10.73312629199899
DDF,264,11,6,shift-half,3.497474747474755,0.0,47.924639749526975,1.4146421533280098,368827908.8,10.73312629199899
DDF,264,11,6,nearst-neighbour,9.993686868686869,0.0,46.6317394733429,0.8522511906228276,368827908.8,10.73312629199899
DDF,264,11,6,shift-1,10.0,0.0,46.822726011276245,0.653144039205708,368827908.8,10.73312629199899
DDF,264,11,6,router-cluster,4.755402865867986,0.0,105.48339328765869,1.5090185886991876,368827908.8,10.73312629199899
DDF,264,11,6,random-permute,10.0,0.0,45.29414467811584,0.8998227207144902,368827908.8,10.73312629199899
Slimfly,18,5,3,uniform,8.412698412698425,0.0,0.12775940895080568,0.000723927469502658,799091.2,7699.229260127276
Slimfly,18,5,3,shift-half,5.555555555555556,0.0,0.0974494457244873,0.0006556405066589272,795652.8,10.73312629199899
Slimfly,18,5,3,nearst-neighbour,9.814814814814815,0.0,0.09526171684265136,0.0005965108159284438,795652.8,10.73312629199899
Slimfly,18,5,3,shift-1,10.0,0.0,0.09325604438781739,0.0006227294616027593,795652.8,10.73312629199899
Slimfly,18,5,3,router-cluster,9.369369369369373,0.0,0.10938839912414551,0.00043960185015751326,795652.8,10.73312629199899
Slimfly,18,5,3,random-permute,10.0,0.0,0.0907167911529541,0.00043023230127575376,795652.8,10.73312629199899
Slimfly,32,6,3,uniform,10.0,0.0,0.647317361831665,0.004080466228232434,3647332.8,13158.812833990762
Slimfly,32,6,3,shift-half,6.666666666666667,0.0,0.45839977264404297,0.04669877708187515,3647368,13174.961707724238
Slimfly,32,6,3,nearst-neighbour,9.895833333333334,0.0,0.44427103996276857,0.03512354142665265,3659110.4,16112.579334172415
Slimfly,32,6,3,shift-1,10.0,0.0,0.4407845973968506,0.036167254576632925,3670870.4,38.1156135986291
Slimfly,32,6,3,router-cluster,10.000000000000002,0.0,0.4593047142028809,0.028367995001826,3659110.4,16112.579334172415
Slimfly,32,6,3,random-permute,10.0,0.0,0.4173929691314697,0.0026264110216091614,3670852.8,10.73312629199899
Slimfly,50,7,4,uniform,9.567307692307693,0.0,1.7661012172698975,0.09268255070113099,11262187.2,43.30357952871795
Slimfly,50,7,4,shift-half,5.833333333333338,0.0,1.43133487701416,0.05779151990581356,11262204.8,10.73312629199899
Slimfly,50,7,4,nearst-neighbour,9.95,0.0,1.4662573337554932,0.042646886139469306,11262204.8,10.73312629199899
Slimfly,50,7,4,shift-1,10.0,0.0,1.4210031986236573,0.09460037009651744,11262276.8,211.85655524434452
Slimfly,50,7,4,router-cluster,9.570312500000002,0.0,3.4242036819458006,0.1002453318115736,11262187.2,43.30357952871795
Slimfly,50,7,4,random-permute,10.0,0.0,1.4275047302246093,0.04121757642675118,11262204.8,10.73312629199899
Slimfly,98,11,6,uniform,8.58187134502923,0.0,31.27769818305969,0.5956954798358713,144111996.8,10.73312629199899
Slimfly,98,11,6,shift-half,4.9999999999999964,0.0,17.895219707489012,0.34756523527365984,144111996.8,10.73312629199899
Slimfly,98,11,6,nearst-neighbour,9.982993197278912,0.0,18.378869390487672,0.6349936777984169,144111996.8,10.73312629199899
Slimfly,98,11,6,shift-1,10.0,0.0,18.350722551345825,0.909558873356824,144111996.8,10.73312629199899
Slimfly,98,11,6,router-cluster,7.885802469135799,0.0,41.824915933609006,1.378770748144794,144112500.8,1124.3430081607657
Slimfly,98,11,6,random-permute,10.0,0.0,18.10126781463623,0.8111438655489293,144111996.8,10.73312629199899
Slimfly,128,12,6,uniform,9.68434343434342,0.0,53.78047876358032,0.37615848021957454,271505860.8,10.73312629199899
Slimfly,128,12,6,shift-half,5.555555555555562,0.0,34.94693765640259,1.293340392864423,271505860.8,10.73312629199899
Slimfly,128,12,6,nearst-neighbour,9.986979166666666,0.0,35.31019773483276,1.020963524382954,271505860.8,10.73312629199899
Slimfly,128,12,6,shift-1,10.0,0.0,35.06294713020325,0.7153486531486603,271505860.8,10.73312629199899
Slimfly,128,12,6,router-cluster,8.84259259259258,0.0,45.476886940002444,1.1085509444583108,271505860.8,10.73312629199899
Slimfly,128,12,6,random-permute,10.0,0.0,34.51160473823548,1.419013073313524,271505860.8,10.73312629199899
Slimfly,162,13,7,uniform,9.248979591836747,0.0,601.6604440689086,3.4698489356072946,483225788.8,10.73312629199899
Slimfly,162,13,7,shift-half,5.238095238095236,0.0,62.120655632019044,1.1149739316366922,483225788.8,10.73312629199899
Slimfly,162,13,7,nearst-neighbour,9.991181657848324,0.0,61.42546262741089,2.2668291720390132,483225788.8,10.73312629199899
Slimfly,162,13,7,shift-1,10.0,0.0,60.94310088157654,2.4860540503564823,483225788.8,10.73312629199899
Slimfly,162,13,7,router-cluster,8.112307824366273,0.0,419.86860728263855,9.372169249194291,483225788.8,10.73312629199899
Slimfly,162,13,7,random-permute,10.0,0.0,61.79817504882813,1.7247934888179008,483225788.8,10.73312629199899
Slimfly,242,17,9,uniform,8.669852648347385,0.0,786.0314296722412,2.4475669583035753,2157146308.8,10.73312629199899
Slimfly,242,17,9,shift-half,4.814814814814849,0.0,309.4885929107666,14.900990974161585,2157146308.8,10.73312629199899
Slimfly,242,17,9,nearst-neighbour,9.995408631772268,0.0,304.2965470790863,11.54556362934303,2157146308.8,10.73312629199899
Slimfly,242,17,9,shift-1,10.0,0.0,310.14616537094116,5.0237125289121,2157146308.8,10.73312629199899
Slimfly,242,17,9,router-cluster,7.383401348858119,0.0,13307.285114622116,103.43998026051108,2157146308.8,10.73312629199899
Slimfly,242,17,9,random-permute,10.0,0.0,304.62197756767273,11.432905331403688,2157146308.8,10.73312629199899
