topo,V,D,EPR,traffic,ave_phi,std_phi,ave_time[s],std_time[s],ave_PeakRAM[B],std_PeakRAM[B]
DDF,36,5,3,uniform,7.178857797414495,0.0,4.648853858311971,0.02048581872220071,8710222,0.0
DDF,36,5,3,shift-half,4.166666666666667,0.0,1.5269070466359456,0.020719500644632977,8710222,0.0
DDF,36,5,3,nearst-neighbour,9.907407407407407,0.0,1.536237319310506,0.0014024121368334968,8710222,0.0
DDF,36,5,3,shift-1,10.0,0.0,1.527016242345174,0.025241734322447626,8710222,0.0
DDF,36,5,3,router-cluster,6.842105263157894,0.0,16.716500838597614,0.019881865377531647,8710222,0.0
DDF,36,5,3,random-permute,10.0,0.0,1.2623039086659749,0.025842706430196625,8710222,0.0
Slimfly,18,5,3,uniform,8.412698412698408,0.0,0.2071390151977539,0.0013645432430820512,1049998,0.0
Slimfly,18,5,3,shift-half,5.555555555555555,0.0,0.15873320897420248,0.00036426054719404885,1049998,0.0
Slimfly,18,5,3,nearst-neighbour,9.814814814814815,0.0,0.8083586692810059,0.0013844791984077385,1049998,0.0
Slimfly,18,5,3,shift-1,10.0,0.0,0.3588860829671224,1.4059285728134143e-05,1049998,0.0
Slimfly,18,5,3,router-cluster,9.36936936936937,0.0,0.5435438950856527,0.004238935999691999,1049998,0.0
Slimfly,18,5,3,random-permute,10.0,0.0,0.1427628993988037,0.0019178100183728022,1049998,0.0
Slimfly,32,6,3,uniform,10.0,0.0,1.2508638699849446,0.005754547223802648,7112910,0.0
Slimfly,32,6,3,shift-half,6.666666666666668,0.0,1.1306783358256023,0.015039803464841631,7112910,0.0
Slimfly,32,6,3,nearst-neighbour,9.895833333333334,0.0,1.607614517211914,0.0024751549349416634,7112910,0.0
Slimfly,32,6,3,shift-1,10.0,0.0,1.1981946627298992,0.020019922092644957,7112910,0.0
Slimfly,32,6,3,router-cluster,10.000000000000002,0.0,1.7804460525512695,0.02257458808990387,7112910,0.0
Slimfly,32,6,3,random-permute,10.0,0.0,0.922051747639974,0.004549387516217909,7112910,0.0
Polarfly,13,4,2,uniform,10.0,0.0,0.051155408223470054,0.0003015934085355926,292942,0.0
Polarfly,13,4,2,shift-half,7.5,0.0,0.2168886661529541,0.00022780804781132838,292942,0.0
Polarfly,13,4,2,nearst-neighbour,9.615384615384615,0.0,0.1514159838358561,0.00024095784440457556,292942,0.0
Polarfly,13,4,2,shift-1,10.0,0.0,0.09407345453898112,0.00013321014488552456,292942,0.0
Polarfly,13,4,2,router-cluster,9.23076923076923,0.0,0.07556565602620442,0.000197891777251059,292942,0.0
Polarfly,13,4,2,random-permute,10.0,0.0,0.03363339106241862,0.0001301032367628788,292942,0.0
Polarfly,31,6,3,uniform,10.0,0.0,1.3032017548878987,0.0012570701900765533,6280462,0.0
Polarfly,31,6,3,shift-half,7.797628628145285,0.0,6.342766761779785,0.003054248316981696,6280462,0.0
Polarfly,31,6,3,nearst-neighbour,9.89247311827957,0.0,1.3226912021636963,0.01734554509166849,6280462,0.0
Polarfly,31,6,3,shift-1,10.0,0.0,1.1001883347829182,0.0005054101240469141,6280462,0.0
Polarfly,31,6,3,router-cluster,9.89247311827957,0.0,15.953674952189127,0.09208107896079615,6280462,0.0
Polarfly,31,6,3,random-permute,10.0,0.0,0.8215178648630778,0.0008374534071438805,6280462,0.0
RRG,13,4,2,uniform,10.0,0.0,0.3739016850789388,0.00023146212184813826,313294,0.0
RRG,13,4,2,shift-half,8.0,0.0,0.2654181321461995,0.0001862023663153693,313294,0.0
RRG,13,4,2,nearst-neighbour,9.615384615384615,0.0,0.22061769167582193,0.00018625746077849265,313294,0.0
RRG,13,4,2,shift-1,10.0,0.0,0.11543409029642741,0.00046136344271571967,313294,0.0
RRG,13,4,2,router-cluster,9.23076923076923,0.0,0.21548382441202799,0.001976798076305604,313294,0.0
RRG,13,4,2,random-permute,10.0,0.0,0.035020907719930015,0.00026350477543500615,313294,0.0
RRG,18,5,3,uniform,8.153846153846153,0.0,9.07677173614502,0.010425882067790625,1049998,0.0
RRG,18,5,3,shift-half,5.5555555555555545,0.0,0.2718497117360433,0.0015938507650067363,1049998,0.0
RRG,18,5,3,nearst-neighbour,9.814814814814815,0.0,0.25870569547017414,0.0007647065222690083,1049998,0.0
RRG,18,5,3,shift-1,10.0,0.0,0.22764945030212402,0.0005328162381721791,1049998,0.0
RRG,18,5,3,router-cluster,8.951486697965574,0.0,0.8036348025004069,0.0017180720786359439,1049998,0.0
RRG,18,5,3,random-permute,10.0,0.0,0.14174938201904297,0.0013290120343415254,1049998,0.0
RRG,31,6,3,uniform,9.999999999999996,0.0,144.43932437896729,1.3265822142708479,6459598,0.0
RRG,31,6,3,shift-half,7.1794871794871815,0.0,4.1219775676727295,0.018384998183943388,6459598,0.0
RRG,31,6,3,nearst-neighbour,9.89247311827957,0.0,2.0097060998280845,0.01693383721539302,6459598,0.0
RRG,31,6,3,shift-1,10.0,0.0,1.6576890150705974,0.00818218870991141,6459598,0.0
RRG,31,6,3,router-cluster,9.89247311827957,0.0,101.32116882006328,0.34013206969725934,6459598,0.0
RRG,31,6,3,random-permute,10.0,0.0,0.804821252822876,0.01748966796789729,6459598,0.0
RRG,32,6,3,uniform,10.000000000000002,0.0,193.763613541921,0.46225302422674663,7112910,0.0
RRG,32,6,3,shift-half,6.222222222222224,0.0,5.8201353549957275,0.017787175665508814,7112910,0.0
RRG,32,6,3,nearst-neighbour,9.895833333333334,0.0,2.3155086835225425,0.007601004343415552,7112910,0.0
RRG,32,6,3,shift-1,10.0,0.0,1.8835234642028809,0.025265243660436587,7112910,0.0
RRG,32,6,3,router-cluster,9.999999999999998,0.0,46.16613380114237,0.30888307896296735,7112910,0.0
RRG,32,6,3,random-permute,10.0,0.0,0.9197696844736735,0.009495764872958274,7112910,0.0
RRG,36,5,3,uniform,6.94805194805195,0.0,359.2896788914998,0.7256245107408714,8710222,0.0
RRG,36,5,3,shift-half,5.111111111111113,0.0,2.9956935246785483,0.013608030029848334,8710222,0.0
RRG,36,5,3,nearst-neighbour,9.907407407407405,0.0,2.841172456741333,0.002672980847525546,8710222,0.0
RRG,36,5,3,shift-1,10.0,0.0,2.5091469287872314,0.027105408053086467,8710222,0.0
RRG,36,5,3,router-cluster,6.842105263157891,0.0,70.33221793174744,0.5993997733419096,8710222,0.0
RRG,36,5,3,random-permute,10.0,0.0,1.299923340479533,0.006469330537669972,8710222,0.0
