V,D,EPR,traffic,Phi,Phi_per_EP,mu
18,5,3,uniform,316.4928909952606,5.860979462875196,0.5860979462875198
18,5,3,nearst-neighbour,412.98701298701303,7.647907647907648,0.7792207792207793
18,5,3,shift_1,344.6808510638298,6.382978723404255,0.6382978723404256
18,5,3,shift_half,128.57142857142856,2.3809523809523805,0.23809523809523808
18,5,3,router-cluster,241.0596026490066,4.464066715722344,0.4635761589403972
18,5,3,random-permute,122.26415094339625,2.264150943396227,0.6792452830188681
32,6,3,uniform,663.8589923568866,6.9151978370509015,0.6915197837050902
32,6,3,nearst-neighbour,604.5454545454546,6.297348484848485,0.6363636363636365
32,6,3,shift_1,480.0,5.0,0.5
32,6,3,shift_half,142.22222222222223,1.4814814814814816,0.14814814814814814
32,6,3,router-cluster,386.1345325089002,4.022234713634377,0.4022234713634377
32,6,3,random-permute,202.10526315789474,2.1052631578947367,0.8421052631578949
50,7,4,uniform,1069.1244168179687,5.345622084089843,0.5345622084089844
50,7,4,nearst-neighbour,1193.9999999999998,5.969999999999999,0.5999999999999999
50,7,4,shift_1,1000.0,5.0,0.5
50,7,4,shift_half,250.0,1.25,0.125
50,7,4,router-cluster,790.6869525126784,3.953434762563392,0.3953434762563392
50,7,4,random-permute,400.0,2.0,1.2444444444444442
98,11,6,uniform,3446.9193187573305,5.862107684961447,0.5862107684961444
98,11,6,nearst-neighbour,4422.242152466368,7.5208199871877,0.7533632286995515
98,11,6,shift_1,2767.0588235294126,4.7058823529411775,0.47058823529411764
98,11,6,shift_half,489.9999999999999,0.8333333333333331,0.08333333333333333
98,11,6,router-cluster,2512.7010429011407,4.2733010933692865,0.4273301093369285
98,11,6,random-permute,1176.0,2.0,1.1805660662933253
128,12,6,uniform,4944.041841769465,6.437554481470657,0.6437554481470652
128,12,6,nearst-neighbour,5113.333333333334,6.657986111111112,0.6666666666666667
128,12,6,shift_1,3840.0,5.0,0.5
128,12,6,shift_half,800.0,1.0416666666666667,0.10416666666666669
128,12,6,router-cluster,3237.1755128928417,4.215072282412554,0.4215072282412556
128,12,6,random-permute,1280.0000000000002,1.666666666666667,1.1371841155234657
162,13,7,uniform,6963.70187365604,6.140830576416262,0.614083057641624
162,13,7,nearst-neighbour,9891.269841269825,8.722460177486617,0.873015873015873
162,13,7,shift_1,6773.212669683235,5.972850678733011,0.5972850678733032
162,13,7,shift_half,774.7826086956527,0.6832298136645968,0.06832298136645962
162,13,7,router-cluster,4883.092321634359,4.306077885039118,0.43136857964967906
162,13,7,random-permute,1768.4826600101794,1.559508518527495,0.7797542592637471
242,17,9,uniform,13865.250556969011,6.366047087680905,0.63660470876809
242,17,9,nearst-neighbour,14513.333333333369,6.663605754514862,0.6666666666666667
242,17,9,shift_1,10890.0,5.0,0.5
242,17,9,shift_half,1210.0000000000093,0.5555555555555598,0.055555555555555546
242,17,9,router-cluster,9647.010751399812,4.429297865656479,0.443336891148887
242,17,9,random-permute,3630.0000000000045,1.6666666666666687,1.260326377425733
