V,D,perturbation_rate,repetition_id,MD_MP_phis_training,Nexullance_MP_APST_original_phis,ECMP_ASP_phis
36,5,0.1,0,6.930446450656657,4.702764325650294,2.2832322588369696
36,5,0.1,1,6.894426295696581,4.6947020249963565,2.2947858039033213
36,5,0.1,2,6.912015624206031,4.66755241983938,2.295332548155848
36,5,0.1,3,6.908188180893547,4.720549844850659,2.2718130974810316
36,5,0.1,4,6.894408317234172,4.714144095012444,2.3019970475457585
36,5,0.1,5,6.9217829174995735,4.763373608045687,2.2993605881069623
36,5,0.1,6,6.897782669917054,4.664185842169188,2.2870896220604204
36,5,0.1,7,6.8777131757504,4.785484573506471,2.2768246054580956
36,5,0.1,8,6.895187600896853,4.786873155582288,2.251300912217045
36,5,0.1,9,6.860198817714214,4.5177188702401585,2.2556526111354036
36,5,0.2,0,6.918647411985641,3.730229810324158,2.488009260952347
36,5,0.2,1,6.957949721970515,3.7945327508525017,2.4719326448806522
36,5,0.2,2,6.931589042432237,3.7341160718862074,2.4459717427138483
36,5,0.2,3,6.957004730793552,3.95016672675795,2.4848572114637597
36,5,0.2,4,6.939384667281349,4.049933279620867,2.4107276768334938
36,5,0.2,5,6.918221229530332,3.885172015544236,2.475696997557495
36,5,0.2,6,6.954070556035853,3.863564687330608,2.493184448476614
36,5,0.2,7,6.96856713208177,3.7059840399577806,2.467387738069784
36,5,0.2,8,6.939001751400482,3.7872461992172557,2.4695988060073266
36,5,0.2,9,6.920549113484469,3.7139861372604352,2.455547240844837
36,5,0.3,0,6.983927598594817,3.213696570940605,2.6368178381385103
36,5,0.3,1,6.962762021200572,3.434231124639475,2.619533315651962
36,5,0.3,2,6.990141598158309,3.121743859710555,2.6451675216099435
36,5,0.3,3,6.965861630611493,3.2635790626812895,2.6197037088309076
36,5,0.3,4,6.965045054614457,3.107385507039328,2.6158832682393145
36,5,0.3,5,6.930260930395021,3.111220697042293,2.588415317363159
36,5,0.3,6,7.016637716709393,3.349536263947169,2.615136807397994
36,5,0.3,7,6.993012397163934,3.4545986030625393,2.664883380976134
36,5,0.3,8,6.98688925692277,3.302447404319185,2.5130833751353157
36,5,0.3,9,7.045497328985,3.2319806676573393,2.6427450521433675
36,5,0.4,0,6.978026807466904,2.824425158192178,2.793134164605116
36,5,0.4,1,6.962607555769127,2.705375477694989,2.808439453758245
36,5,0.4,2,6.982672277902369,3.0251058098042427,2.7900764100917734
36,5,0.4,3,7.02559456662809,3.0459174695159645,2.783557457828333
36,5,0.4,4,7.004503007472896,2.9408270536715357,2.7701509704707337
36,5,0.4,5,7.020413307509581,2.807612324210648,2.800878706487237
36,5,0.4,6,6.936154168966423,2.9165709405763556,2.7370194512808173
36,5,0.4,7,6.975937470780259,2.8490322187268684,2.675097927410774
36,5,0.4,8,7.042703485154102,2.7472227613364164,2.8257390527250923
36,5,0.4,9,7.01423813581025,3.075971216865834,2.9423623426612333
36,5,0.5,0,7.086251812653369,2.665303776791384,3.0161187195937598
36,5,0.5,1,7.067372047806385,2.7699054891974124,3.017133837988334
36,5,0.5,2,7.053858276025799,2.638364052824891,2.919081945614634
36,5,0.5,3,7.099577484680942,2.539053697933586,3.067384200158954
36,5,0.5,4,7.086409711554497,2.787346207573021,3.00386928486067
36,5,0.5,5,6.98725477465649,2.7553694777496993,2.922954998688771
36,5,0.5,6,7.046942944674931,2.5483075792325014,2.915245758812336
36,5,0.5,7,7.0087795750716415,2.9846000328933435,2.8808569476803694
36,5,0.5,8,7.101300341422022,2.724643160446495,2.967847945116636
36,5,0.5,9,7.015403012919826,2.6309610277140925,2.8201332585848258
36,5,0.6,0,7.063368436480219,2.554375567837744,3.193233852409828
36,5,0.6,1,7.055858992605882,2.3775603965676027,3.0155587812256557
36,5,0.6,2,7.109737201771837,2.5096746122548748,3.2171226368649055
36,5,0.6,3,7.022532825700119,2.41919924450938,3.1833284161717224
36,5,0.6,4,7.051137204359554,2.438732183746624,3.014066337615353
36,5,0.6,5,7.021231811393769,2.698231898096829,3.112883937992519
36,5,0.6,6,7.04615075837565,2.6249455728973534,2.8088733528822813
36,5,0.6,7,7.163811801393615,2.5188144862645574,3.228822620688582
36,5,0.6,8,7.013995768915106,2.494435327234044,2.975917289314526
