V,D,perturbation_rate,repetition_id,MD_MP_phis_training,Nexullance_MP_APST_original_phis,ECMP_ASP_phis
36,5,0.1,0,6.257507110471313,1.6893808353107747,4.621173507402021
36,5,0.1,1,6.276988327256981,1.734675607928536,4.378367555077222
36,5,0.1,2,6.374899805225469,1.6317751929608806,4.879143126557045
36,5,0.1,3,6.338631620588721,1.6790251987574896,4.650007098526429
36,5,0.1,4,6.294443622631879,1.5803271225828357,4.580740063818816
36,5,0.1,5,6.424785054041509,1.4949150076541295,4.562303132329204
36,5,0.1,6,6.3432316784806755,1.6182790013559105,4.3507544450144096
36,5,0.1,7,6.361538451757021,1.593314025773006,4.663754471899229
36,5,0.1,8,6.44052346977165,1.439034013825446,4.648935601397309
36,5,0.1,9,6.40167616349191,1.5745474371074097,4.672945326663096
36,5,0.2,0,6.746938926795656,1.3925982245576074,4.643923302431982
36,5,0.2,1,6.799634760662467,1.4687992326306263,4.6174001346984035
36,5,0.2,2,6.744274202281013,1.5920952560778323,4.609552325195222
36,5,0.2,3,6.851364772109033,1.6014259812878737,4.753352081687815
36,5,0.2,4,6.711525477536982,1.341883135295812,4.324015947884859
36,5,0.2,5,6.757889496159197,1.5223845375880418,4.716875976706669
36,5,0.2,6,6.746706619036507,1.389240401497364,4.373283165679247
36,5,0.2,7,6.709880498178113,1.4944561768272682,4.61725619710927
36,5,0.2,8,6.782388066367331,1.4414177126492442,4.586008076573548
36,5,0.2,9,6.807365360554608,1.5815257692572828,4.6796249233218825
36,5,0.3,0,6.763708159622303,1.3902155018454112,4.366105417511975
36,5,0.3,1,6.9125048660979,1.4155888893782984,4.47558279327042
36,5,0.3,2,6.558759855490264,1.5036321991853896,4.531501140862871
36,5,0.3,3,6.335037653904959,1.5118750530063576,4.050495513838258
36,5,0.3,4,6.730081124109394,1.4620450470153896,4.570816137963312
36,5,0.3,5,6.854895450907821,1.4955278749251348,4.436787497538525
36,5,0.3,6,6.904730748869827,1.3974874184994126,4.480489999766078
36,5,0.3,7,6.404533082156372,1.5381975568906106,4.625393165109321
36,5,0.3,8,6.884509104298626,1.4907299974916668,4.447197095076195
36,5,0.3,9,6.7434750972397905,1.478282805825116,4.481915251924094
36,5,0.4,0,6.641811929389168,1.377753409778258,4.246018814807283
36,5,0.4,1,6.965720372397564,1.4781573083598027,4.589357413412031
36,5,0.4,2,6.827893446843604,1.3127501991614667,4.448132560517186
36,5,0.4,3,6.925889514311633,1.3620201012700686,4.269783823484675
36,5,0.4,4,6.86473532820011,1.4125589316496088,4.699267157932756
36,5,0.4,5,6.860921000158557,1.504581076912146,4.576347576071348
36,5,0.4,6,6.769141298264481,1.3476041204276281,4.395585197823925
36,5,0.4,7,6.776433753728573,1.291270006423828,4.370973570993991
36,5,0.4,8,6.863572329050266,1.4542836627163567,4.419413086882001
36,5,0.4,9,6.754411036245268,1.571454170393355,4.276345457644899
36,5,0.5,0,6.824233383505441,1.475051973808012,4.581626732866962
36,5,0.5,1,6.60362960571861,1.3785484183793728,4.250182686459436
36,5,0.5,2,6.862787646107511,1.3680270455321435,4.389742890609135
36,5,0.5,3,6.895928288888521,1.3888341247406208,4.6423129206259945
36,5,0.5,4,6.760643763933319,1.4107260649485227,4.305099267067452
36,5,0.5,5,6.904910836403375,1.4566903578771881,4.551742200774435
36,5,0.5,6,6.888808729077226,1.5109172866599128,4.3215612546625195
36,5,0.5,7,6.923710594100276,1.4121329297964555,4.486779636627476
36,5,0.5,8,6.6575706364042215,1.378876088210076,4.630683442557586
36,5,0.5,9,6.981277881877164,1.3861351180490038,4.535531967028417
36,5,0.6,0,6.891594043046173,1.411890755006468,4.292136201622078
36,5,0.6,1,6.897583947985969,1.295332704140608,4.053568961741258
36,5,0.6,2,6.9042943035326365,1.3657275586843336,4.554407614180921
36,5,0.6,3,6.650759442064134,1.3806328868750644,4.558905601784429
36,5,0.6,4,6.941712972566302,1.306515422067176,4.347864888666097
36,5,0.6,5,6.648161364690061,1.2781351433101706,4.656390541298798
36,5,0.6,6,6.70133781885716,1.4600107450339554,4.522345282482593
36,5,0.6,7,6.811826283751138,1.3790952482584986,4.666002082686383
36,5,0.6,8,6.93596928684841,1.3430433363351013,4.373578717090795
36,5,0.6,9,6.8681589230906805,1.413604845136173,4.447816690579209
36,5,0.7,0,6.9442120965521985,1.3667435414318267,4.539732457866086
36,5,0.7,1,6.996801735774197,1.4034545591650305,4.521948915621869
36,5,0.7,2,6.929243702973171,1.3948134057253923,4.309908109873285
36,5,0.7,3,6.913217411448094,1.422991496148262,4.4018187892399405
36,5,0.7,4,6.729211769087908,1.3590281616887114,4.476529188594288
36,5,0.7,5,6.861553120842381,1.37051418287237,4.632743454037953
36,5,0.7,6,6.980769271453818,1.3079807176525038,4.517201374555007
36,5,0.7,7,6.770448514513386,1.4935617039891365,4.321596942979084
36,5,0.7,8,6.971042170921902,1.2480774968039658,4.36689238181516
36,5,0.7,9,6.966791226661233,1.5341624082715062,4.447915428381219
36,5,0.8,0,6.919520551469783,1.4656046942140415,4.429050324945556
36,5,0.8,1,6.700834022483082,1.3176419183595038,4.346199369834776
36,5,0.8,2,6.936232953924848,1.3391397223913424,4.484721413431621
36,5,0.8,3,6.915623436817118,1.4373822375112368,4.568996042644252
36,5,0.8,4,6.741728189093958,1.4147790020092428,4.397614981884528
36,5,0.8,5,6.85627899426933,1.4076900362028169,4.480182513904545
36,5,0.8,6,6.968217936781782,1.402833136898369,4.613104922656201
36,5,0.8,7,6.681073778154,1.3910581932862476,4.184715872083059
36,5,0.8,8,6.963320546686294,1.4671008681636735,4.777686036344761
36,5,0.8,9,6.893468412892862,1.4619511204616633,4.656707935242583
36,5,0.9,0,6.824907946269932,1.4243407202643195,4.37094631628107
36,5,0.9,1,6.4445843359763115,1.4068492816008331,4.110782200497358
36,5,0.9,2,6.911150242530717,1.397469518319194,4.223703093994736
36,5,0.9,3,6.905635915288547,1.405103628407539,4.126858425929121
36,5,0.9,4,6.9425448226338125,1.5510801787277535,4.660325873035928
36,5,0.9,5,6.498874164086671,1.4419210060130356,4.536988237524693
36,5,0.9,6,6.515376910983565,1.4766059596331946,4.366338020826789
36,5,0.9,7,6.694547087011032,1.4332499006064272,4.21295898302542
36,5,0.9,8,6.668928579263727,1.336554017001596,4.341651434044974
36,5,0.9,9,6.925891487185256,1.298720839181849,4.144605364544267
36,5,1.0,0,6.97465823049011,1.3181271894891415,4.490358398858783
36,5,1.0,1,6.967910842961492,1.436406715678518,4.506179633682621
36,5,1.0,2,6.934312620544942,1.3925662551694455,4.50078493398401
36,5,1.0,3,6.646895249239353,1.4255994890437673,4.33884378381773
36,5,1.0,4,6.889650948890883,1.4886165979090362,4.03363093619606
36,5,1.0,5,6.627615164449599,1.355425032171449,4.529423245191726
36,5,1.0,6,6.854921580967637,1.366587354222059,4.050778588598607
36,5,1.0,7,6.505697610291947,1.4487540875923404,4.273610406963038
36,5,1.0,8,6.888425050567657,1.4377340300921544,4.551143858175032
36,5,1.0,9,6.496341370598976,1.3044169932412393,4.152553747171212
36,5,0.0,0,3.9999999999999996,1.0,1.0
