V,D,perturbation_rate,repetition_id,Nexullance_MP_optimal,Nexullance_MP_unperturbated,ECMP_ASP
36,5,0.1,0,8.080047370285957,1.7617587105515968,6.156139330560982
36,5,0.1,1,7.768565487718814,1.8951772918199483,6.137091439421539
36,5,0.1,2,7.787377349349247,1.848210384770066,6.111368360065855
36,5,0.1,3,7.943962973921294,1.8086914134458894,6.118881740626698
36,5,0.1,4,8.067261986610045,1.8255343821213819,6.393652605642899
36,5,0.1,5,7.695900845065931,1.8841780846478182,6.247836026785443
36,5,0.1,6,7.597244439595509,1.85916139675431,6.192815327372777
36,5,0.1,7,7.9252169026159995,1.7322718642249098,6.118585537695375
36,5,0.1,8,7.876894571727543,1.832038712933945,6.28320101472298
36,5,0.1,9,7.798981024846417,1.8688057341037216,6.018610504337993
36,5,0.2,0,7.603504943915066,1.6214947705216671,5.216978492816482
36,5,0.2,1,7.124365216211486,1.6186425032363443,5.226784524391831
36,5,0.2,2,7.747118661908005,1.6791890388600508,5.344392907096715
36,5,0.2,3,7.89477062673231,1.653931123876589,5.300013132437138
36,5,0.2,4,7.685926318912028,1.4919382258789955,5.161645351474016
36,5,0.2,5,7.359839175136883,1.6489727150957063,5.497776493717198
36,5,0.2,6,6.997875264635048,1.654245815265041,5.0448310105646135
36,5,0.2,7,7.375943025158431,1.6231099335931711,5.31718564186615
36,5,0.2,8,7.213599294440088,1.5589585832513957,5.324679669231398
36,5,0.2,9,7.200141972018479,1.7443205412460918,4.753584511565215
36,5,0.3,0,7.176980983292348,1.4672503765626397,4.996466747477781
36,5,0.3,1,7.019885506470181,1.5159474432627138,4.6923284049770615
36,5,0.3,2,7.5511198716409815,1.475465865274237,4.681793421960771
36,5,0.3,3,7.278828186994507,1.4982685935069329,5.128626493073689
36,5,0.3,4,7.361148303432298,1.6372058417957347,5.170546745073891
36,5,0.3,5,7.531014992682362,1.4987127179163071,4.85598779786913
36,5,0.3,6,7.586494057034897,1.5130387303971373,5.039856715969209
36,5,0.3,7,7.211183560999818,1.688389895756701,4.728038579566346
36,5,0.3,8,6.267291519357122,1.5540638881902322,4.762616789347025
