V,D,perturbation_rate,repetition_id,MD_MP_training,MD_MP_verification,MD_MP_trained_on_verification_set
36,5,0.1,0,5.261730840701018,3.7516997192854538,5.219443788449941
36,5,0.1,1,5.353388246736487,3.938135891311691,5.237444840236456
36,5,0.1,2,5.250412403440403,3.9986573604357485,5.237226519575644
36,5,0.1,3,5.16719900694852,4.170898218957772,5.299822395602219
36,5,0.1,4,5.16209667751833,4.0245073731231225,5.369937741146851
36,5,0.1,5,5.317788162622537,4.043473740385036,5.298789690495685
36,5,0.1,6,5.2650292966280015,3.6509335145518036,5.304028694171246
36,5,0.1,7,5.307928902815723,4.0630242578643765,5.187121306772806
36,5,0.1,8,5.316514316847068,4.091360214109803,5.244257415838705
36,5,0.1,9,5.2178267924371005,4.026339645647532,5.183340717863302
36,5,0.2,0,6.319517412689417,4.878003397121879,6.3883267027264425
36,5,0.2,1,6.263366865588058,4.66189743539972,6.349167406918688
36,5,0.2,2,6.361769474910314,5.000310282759801,6.3939533279687115
36,5,0.2,3,6.24766136521101,4.744534177820578,6.400975357632594
36,5,0.2,4,6.329503392091408,4.756777435512093,6.282217697891493
36,5,0.2,5,6.304771604236005,4.437456394838866,6.275095542870496
36,5,0.2,6,6.34919324203287,4.696635960197496,6.38052693280325
36,5,0.2,7,6.319948688322121,4.644603829534126,6.31739977256248
36,5,0.2,8,6.32776032260333,4.750603755575135,6.349860896244929
36,5,0.2,9,6.319873745945785,4.64636753909364,6.434776944948194
36,5,0.3,0,6.291771015832951,4.9088125832261165,6.383620719906441
36,5,0.3,1,6.395255998808659,5.292930272622265,6.425745189126619
36,5,0.3,2,6.440502066538469,5.058503443371226,6.4029454939617025
36,5,0.3,3,6.388715363284965,5.123589746178843,6.335037653904959
36,5,0.3,4,6.383541506514072,4.84754745529287,6.398510912792405
36,5,0.3,5,6.30466235538243,4.944114820459675,6.374242395804898
36,5,0.3,6,6.2816975003373825,5.114798140752969,6.465146619957925
36,5,0.3,7,6.415640573229942,4.73655084938702,6.382848163940527
36,5,0.3,8,6.304615950727788,5.125036628398733,6.4282977533672065
36,5,0.3,9,6.406240108209949,4.9291221672984795,6.281655506143205
36,5,0.4,0,6.3545416168723365,5.175835580099508,6.310310150795657
36,5,0.4,1,6.248068409311013,5.497530020190452,6.396846868120091
36,5,0.4,2,6.330000122122163,5.474168980982214,6.311026134167078
36,5,0.4,3,6.45167560874088,4.915381611591654,6.40429683884138
36,5,0.4,4,6.3266469612816865,5.356508295136409,6.40724200882392
36,5,0.4,5,6.33321711907258,5.241874795985858,6.402494262739832
36,5,0.4,6,6.233159873915077,4.944722629274713,6.211827198773915
36,5,0.4,7,6.36567952906536,4.892968499055377,6.252785629832052
36,5,0.4,8,6.400794326607191,4.987970836991402,6.367454137935925
36,5,0.4,9,6.33600555567527,5.067458112105719,6.377520591525469
36,5,0.5,0,6.400670674878731,4.824217405710961,6.36791952655414
36,5,0.5,1,6.46619723488995,5.140507961717604,6.293395436421611
36,5,0.5,2,6.366823280624942,5.212968243945248,6.3005517849744255
36,5,0.5,3,6.394672556994122,5.297628966447297,6.347100356034587
36,5,0.5,4,6.498928924967153,5.312430835080043,6.391466537536585
36,5,0.5,5,6.462984449540578,5.1821760663527705,6.439575488812165
36,5,0.5,6,6.40041065231257,5.331627796465455,6.3798027030290925
36,5,0.5,7,6.3589252705108485,5.284670386944027,6.381840284284159
36,5,0.5,8,6.502792512270309,5.120839760243854,6.3514101559145555
36,5,0.5,9,6.364967916137301,5.2473925839213145,6.4928854349107175
36,5,0.6,0,6.460528660251053,5.372564705737457,6.34828410132995
36,5,0.6,1,6.491031962069119,5.443692423616896,6.442335942617429
36,5,0.6,2,6.223464043936208,5.393088671231313,6.413142789014101
36,5,0.6,3,6.449593726628238,5.156806140442738,6.379335417678963
36,5,0.6,4,6.431844651696438,5.32451825944272,6.445425252837431
36,5,0.6,5,6.403869462611497,5.190742737529227,6.31401445290532
36,5,0.6,6,6.466930124090913,5.061757484986295,6.393880188592717
36,5,0.6,7,6.399905526803359,4.973484704031317,6.391983161521056
36,5,0.6,8,6.435231255071983,5.441274542978533,6.34657173317617
36,5,0.6,9,6.540631129438408,5.212877433061251,6.373998908638875
36,5,0.7,0,6.442029651098722,5.597448515703631,6.478161624986979
36,5,0.7,1,6.423777877770436,5.3331485927427025,6.415617879683707
36,5,0.7,2,6.357735236040116,5.0207975734547725,6.456594238199636
36,5,0.7,3,6.412166021207064,5.0824314698505235,6.440147022258722
36,5,0.7,4,6.334532463985249,5.226363555959443,6.495336848932401
36,5,0.7,5,6.444555432861489,5.490642914676617,6.3231576681830735
36,5,0.7,6,6.460940570597707,5.130745734863156,6.525207131384479
36,5,0.7,7,6.360633200297809,5.35838973204712,6.273584056292945
36,5,0.7,8,6.316577340828896,5.477470719606195,6.453130620037261
36,5,0.7,9,6.356958811776174,5.237824091345678,6.481790518758265
36,5,0.8,0,6.410823633413037,5.519219968610468,6.389341706356894
36,5,0.8,1,6.396829470396711,5.242353445212929,6.332239178217022
36,5,0.8,2,6.423141954817834,5.4758000792414485,6.3679545465058505
36,5,0.8,3,6.498135981598789,5.578779463049977,6.464365891299912
36,5,0.8,4,6.503168009247874,5.312915297199361,6.3837467031871595
36,5,0.8,5,6.43717664004949,5.246173679115345,6.308394175542775
36,5,0.8,6,6.318776610081392,5.5999018486932055,6.4518316009001
36,5,0.8,7,6.351445667944774,5.226300698759319,6.342650543545995
36,5,0.8,8,6.391842250783294,5.1714469472285485,6.387882920744627
36,5,0.8,9,6.422995993911136,5.246658800440129,6.409328923072047
36,5,0.9,0,6.442739013810343,5.077198321636239,6.407740249617085
36,5,0.9,1,6.322065029086377,5.222128617098353,6.18103223893678
36,5,0.9,2,6.44899096311104,5.184123228019423,6.3799091645716635
36,5,0.9,3,6.337891084986037,5.010903403755634,6.404825224447841
36,5,0.9,4,6.32968892083602,5.320734708921121,6.468617018684328
36,5,0.9,5,6.400281754893033,5.323575733670469,6.390247509120587
36,5,0.9,6,6.332932608839626,5.367398969640054,6.323455320414358
36,5,0.9,7,6.309803704997461,4.8357765510806425,6.290567569204889
36,5,0.9,8,6.423899093313149,5.323687384828386,6.312122220234796
36,5,0.9,9,6.444640615657985,5.33937758984269,6.429914209216768
36,5,1.0,0,6.383768008109176,5.468818870016547,6.423955647413927
36,5,1.0,1,6.425876264235581,5.518891525861551,6.4425450463602365
36,5,1.0,2,6.432464449926679,5.28325049698962,6.382503803800757
36,5,1.0,3,6.4186512500031645,5.303545938872635,6.354154951742897
36,5,1.0,4,6.466656091645901,5.239859408910671,6.324395339745875
36,5,1.0,5,6.223223908955784,5.206863161997021,6.47253198984022
36,5,1.0,6,6.36097441134757,5.105576870935624,6.375439711049652
36,5,1.0,7,6.479204306199232,5.300601264191563,6.269404018651321
36,5,1.0,8,6.481075468201424,5.087660360865739,6.347365864463303
36,5,1.0,9,6.310098614928408,5.088633767367413,6.3532241270662535
36,5,0.0,0,NAN,NAN,NAN
