V,D,perturbation_rate,repetition_id,MD_MP_training,MD_MP_verification,MD_MP_trained_on_verification_set
36,5,0.1,0,7.101586478782968,6.589482258341821,7.0923389610668774
36,5,0.1,1,7.091305936906463,6.587609798195677,7.090883449503885
36,5,0.1,2,7.0833844896355505,6.5210722745030525,7.101078829092527
36,5,0.1,3,7.0896275603760275,6.55557655263445,7.098269658709586
36,5,0.1,4,7.090140173453445,6.624176275567437,7.094704173938645
36,5,0.1,5,7.091340730956851,6.570135709744365,7.090977964880329
36,5,0.1,6,7.106015021113257,6.563189352443195,7.085376127406585
36,5,0.1,7,7.097825705352888,6.553780044038583,7.095814301444713
36,5,0.1,8,7.087317344832581,6.572002207384976,7.087768795208625
36,5,0.1,9,7.091983184647835,6.621458481732793,7.088971363983554
36,5,0.2,0,7.006717237488357,6.506162120344346,7.017582213912171
36,5,0.2,1,7.005751108818657,6.569930901587949,7.027415354725785
36,5,0.2,2,6.992804567807367,6.469452719906053,6.998577567700649
36,5,0.2,3,7.029093364007177,6.51540251622692,7.000743905932425
36,5,0.2,4,7.017012006767654,6.451522072752767,7.006535802614807
36,5,0.2,5,7.012485960995271,6.546860449681708,7.0112254907922305
36,5,0.2,6,7.009526011071888,6.531427607229152,7.009826037211988
36,5,0.2,7,6.983622296047735,6.562686440246894,7.019978259073015
36,5,0.2,8,7.041250336180859,6.524150143437218,7.008334806269866
36,5,0.2,9,7.010859067601316,6.545796759425218,6.994070064293037
36,5,0.3,0,6.94549715454816,6.539837349808208,6.945607950143897
36,5,0.3,1,6.91797601555809,6.36791685528329,6.950106206947773
36,5,0.3,2,6.946219458382083,6.489116479248201,6.946264153594082
36,5,0.3,3,6.941900026035502,6.578649610744853,6.9704877437328046
36,5,0.3,4,6.940259359139804,6.532764226514806,6.956248364810936
36,5,0.3,5,6.9243113710765485,6.467652827559513,6.958016891911774
36,5,0.3,6,6.948681970090484,6.402734489821005,6.938080547373442
36,5,0.3,7,6.891064254772356,6.364378100683037,6.938488570204425
36,5,0.3,8,6.939725111580123,6.423060195662463,6.924955798728526
36,5,0.3,9,6.93054556886928,6.353044986369553,6.942653423892045
36,5,0.4,0,6.874646878007915,6.222435036665742,6.849913572662977
36,5,0.4,1,6.8235464290459795,6.2394538842721206,6.852911437821295
36,5,0.4,2,6.867700070951753,6.323396809358041,6.897928233787497
36,5,0.4,3,6.837141334976471,6.374287832304846,6.847660693318817
36,5,0.4,4,6.831888583233866,6.430343065648164,6.898120068891801
36,5,0.4,5,6.824462885258104,6.299951618973977,6.793728461521438
36,5,0.4,6,6.83944934834309,6.390847642204573,6.850466556214626
36,5,0.4,7,6.826607999208533,6.412481579005504,6.9070089706572375
36,5,0.4,8,6.835886503248504,6.270782483315791,6.873382514830609
36,5,0.4,9,6.835659139169233,6.247838342174647,6.825496923978895
36,5,0.5,0,6.805624909705727,6.240719249071986,6.81515500752676
36,5,0.5,1,6.816309958661772,6.2974399765840925,6.852243390594735
36,5,0.5,2,6.8343485257333105,6.179743776764649,6.782126244440684
36,5,0.5,3,6.82306841321221,6.149494113040465,6.789884178654785
36,5,0.5,4,6.809209834922838,6.3172373887753785,6.81730886585571
36,5,0.5,5,6.805659703889155,6.286436093457558,6.801834440197227
36,5,0.5,6,6.797038108441249,6.216607269480171,6.78706598973212
36,5,0.5,7,6.800882328357779,6.239542972495787,6.821213989386204
36,5,0.5,8,6.814206240461164,6.367986659958654,6.8126996875168615
36,5,0.5,9,6.876064317226691,6.384675335373244,6.781006864436227
36,5,0.6,0,6.7694910477545465,6.270409188238432,6.77661474553285
36,5,0.6,1,6.733277303924583,6.188143007409118,6.79439314053174
36,5,0.6,2,6.726283721224085,6.15214746219909,6.701490523366001
36,5,0.6,3,6.704224215328899,6.011876932331249,6.747602366016183
36,5,0.6,4,6.740959705888998,6.184620876131795,6.754052267627293
36,5,0.6,5,6.771153528462458,6.193766544852769,6.775427077947798
36,5,0.6,6,6.800066582643376,6.266608873283623,6.7101788646313265
36,5,0.6,7,6.739835164276331,5.734202543763336,6.719673446167394
36,5,0.6,8,6.758928982446117,6.3319791944843935,6.738754522695268
36,5,0.6,9,6.729734230727488,6.165136627602053,6.704748735911754
36,5,0.7,0,6.6609785727300395,6.206803335344319,6.684193189070363
36,5,0.7,1,6.751874572137656,6.249116860073714,6.705683611496516
36,5,0.7,2,6.629010180239483,5.931250334646313,6.719527096563824
36,5,0.7,3,6.6610195861350405,5.965988346386367,6.6150973210873305
36,5,0.7,4,6.726613036174462,6.0216589330174335,6.703125016288874
36,5,0.7,5,6.710069682836901,6.0537086136100795,6.757086991069815
36,5,0.7,6,6.68054594048902,5.980437425429453,6.684813808315288
36,5,0.7,7,6.68649627960816,6.0496957043801025,6.688869668263313
36,5,0.7,8,6.722077586998124,5.870012018749539,6.700255751637226
36,5,0.7,9,6.675415825125066,6.064912597289793,6.61953827131952
36,5,0.8,0,6.599204338810662,6.016561962017101,6.6792081985648055
36,5,0.8,1,6.697182577583323,6.2276644215865264,6.703921551135586
36,5,0.8,2,6.714615471976261,6.1352561963073,6.678663195392185
36,5,0.8,3,6.634249400586494,5.959586637807892,6.645966589805341
36,5,0.8,4,6.73430086473165,6.179414608594813,6.685139726753106
36,5,0.8,5,6.660876841346322,6.083883665647556,6.712466008145289
36,5,0.8,6,6.6717455135850185,6.075915076198352,6.670268245043371
36,5,0.8,7,6.715597865981126,5.988312658430853,6.721678856130672
36,5,0.8,8,6.63594619652762,5.973187414893558,6.704222004297394
36,5,0.8,9,6.670564786447484,6.18580674228396,6.637292226916987
36,5,0.9,0,6.580378250890267,5.9790781579469545,6.631547182713085
36,5,0.9,1,6.583557106556611,5.854327894776095,6.6526318978811405
36,5,0.9,2,6.656899781358016,5.929760240776383,6.692641257717245
36,5,0.9,3,6.601378440465599,5.953978132885778,6.618060673800666
36,5,0.9,4,6.643443007447034,5.893479076365439,6.6538530292577205
36,5,0.9,5,6.612998616909367,6.066091749484259,6.634370704205781
36,5,0.9,6,6.690479089639079,6.150770185692589,6.699606812670562
36,5,0.9,7,6.689390101147182,5.9236831477862495,6.6567434601911275
36,5,0.9,8,6.6832592907238055,6.068351775949496,6.580575523055945
36,5,0.9,9,6.541277894590791,5.93558727310057,6.612949991280051
36,5,1.0,0,6.600125427522476,5.861650533535799,6.6337206028682845
36,5,1.0,1,6.612591143214361,5.970609626448736,6.604311875775045
36,5,1.0,2,6.683169476176049,5.902421519054285,6.615964138508075
36,5,1.0,3,6.670184743494702,6.208966108310891,6.657345564884544
36,5,1.0,4,6.602019134565394,5.9872384683775195,6.668653963491969
36,5,1.0,5,6.603019544713472,5.937262386838817,6.7036395996706455
36,5,1.0,6,6.60519333886116,5.904463798352374,6.59324012352002
36,5,1.0,7,6.6580484735625225,5.98790635145596,6.543634146766148
36,5,1.0,8,6.682553942619122,6.058100377139918,6.655777835086387
36,5,1.0,9,6.652974922748685,5.92047260352176,6.7029354173127835
36,5,0.0,0,NAN,NAN,NAN
