V,D,M_id,phi_ECMP_ASP,phi_IT,phi_IT_fast,phi_IT_fast_diff,time_IT,time_IT_fast,time_IT_fast_diff,attempts_IT,attempts_IT_fast,attempts_IT_fast_diff
36,5,0,0.557245129014169,1.8297691345214844,1.6996748447418213,1.6996748447418213,0.014593473000000001,0.014071441333333332,0.013575093333333335,654,545.0,545.0
36,5,1,0.49744955437921745,1.7276191711425781,1.562368631362915,1.6509112119674683,0.012947803333333334,0.012770819666666667,0.011524418333333335,546,545.0,545.0
36,5,2,0.45468715052793235,1.026623010635376,1.026623010635376,1.026623010635376,0.0015453053333333334,0.010995864333333334,0.009763662666666667,7,8.0,2.0
36,5,3,0.27226999065935137,0.27226996421813965,0.27226996421813965,0.27226996421813965,0.0014114190000000001,0.010662096333333334,0.009711476000000002,0,0.0,0.0
36,5,4,0.5918337922922267,1.5961588621139526,1.5961588621139526,1.5961588621139526,0.0016509726666666666,0.010798463333333333,0.009982607333333332,13,42.0,36.0
36,5,5,1.0216900734192729,2.9891910552978516,2.7447290420532227,2.2496893405914307,0.004524141,0.012966168333333333,0.011593169,176,625.0,545.0
36,5,6,1.318846200701608,2.6945204734802246,2.6945204734802246,2.6945204734802246,0.002384972,0.011679667,0.011348968666666667,47,202.0,302.0
36,5,7,0.852368807805241,2.1060850620269775,1.6727943420410156,1.9561907052993774,0.0018140366666666667,0.012227082333333333,0.011584394333333333,20,545.0,545.0
36,5,8,0.5402964425902071,1.1054909229278564,1.1054909229278564,1.1054909229278564,0.001532841,0.010709769000000001,0.009892315,6,8.0,1.0
36,5,9,0.4203159981116795,0.42031601071357727,0.42031601071357727,0.42031601071357727,0.0014079206666666668,0.010800195,0.009786289000000002,0,0.0,0.0
36,5,10,0.5860479389282955,1.1088355779647827,1.1088355779647827,1.1088355779647827,0.001597986,0.011051980333333334,0.009883903666666667,6,7.0,2.0
36,5,11,0.9035831875467338,2.8017444610595703,2.8017444610595703,2.589886426925659,0.0036448433333333336,0.011793379666666668,0.011699987666666668,127,182.0,546.0
36,5,12,1.3483135025652737,3.1177783012390137,2.388936758041382,2.3606784343719482,0.028151296000000003,0.012759698333333333,0.011434279666666667,831,545.0,545.0
36,5,13,0.8495297578727092,2.6164305210113525,1.8700566291809082,2.0127696990966797,0.005608536,0.012503432000000002,0.011555499000000002,227,545.0,545.0
