V,D,M_id,phi_ECMP_ASP,phi_IT,phi_IT_fast,phi_IT_fast_diff,time_IT,time_IT_fast,time_IT_fast_diff,attempts_IT,attempts_IT_fast,attempts_IT_fast_diff
36,5,0,2.382349321528708,5.727227687835693,5.727227687835693,5.727227687835693,0.01663477966666667,0.08543200366666666,0.08360805500000001,22,151.0,151.0
36,5,1,1.5044109763126412,4.661929130554199,4.231813907623291,4.270132064819336,0.041031426,0.12187232933333332,0.1313976206666667,133,710.0,914.0
36,5,2,0.5984215632222658,3.1430680751800537,2.49723219871521,2.5155460834503174,0.027991963333333335,0.108977589,0.10718464533333333,68,545.0,545.0
36,5,3,0.5102827545861908,1.639589548110962,1.639589548110962,1.639589548110962,0.017507375,0.07309761833333334,0.07165291533333334,23,28.0,17.0
36,5,4,0.33153256639988266,1.694322109222412,1.4982565641403198,1.5058882236480713,0.061271757333333336,0.11253678266666667,0.10672440233333332,226,609.0,545.0
36,5,5,0.49252223502086606,2.12001633644104,2.0807089805603027,2.10725736618042,0.04008672133333333,0.12123135033333332,0.11905803033333333,111,698.0,684.0
36,5,6,0.8105445387728245,1.4504119157791138,1.4504119157791138,1.4504119157791138,0.015076813333333335,0.073369418,0.069947547,13,15.0,1.0
36,5,7,0.9008664695082196,3.10805606842041,2.9179930686950684,2.866475820541382,0.050998358,0.14335369499999998,0.13002103533333334,161,965.0,813.0
36,5,8,1.0760973959747653,3.476750373840332,3.0705862045288086,2.9464521408081055,0.17153995533333333,0.11808655,0.11089952066666665,310,644.0,573.0
36,5,9,0.7385909896033779,2.98919939994812,2.661308526992798,2.668886184692383,0.12187116233333332,0.116404508,0.11415734599999999,200,631.0,617.0
36,5,10,1.2316645106738784,3.3328230381011963,3.0659618377685547,2.9899139404296875,0.25765916133333333,0.11756159833333334,0.11108077300000001,324,645.0,577.0
36,5,11,1.0776603317947955,3.3619563579559326,3.059663772583008,3.014538526535034,0.5106053893333333,0.12378305933333333,0.11133140233333333,573,725.0,582.0
36,5,12,1.0611287271932108,3.394601583480835,2.9364359378814697,2.8837358951568604,0.427518626,0.11818740433333334,0.10914379766666667,540,642.0,545.0
36,5,13,1.1272608821275842,3.4190945625305176,3.467939853668213,3.352959632873535,0.13668749033333333,0.13846894266666668,0.11659486766666667,263,888.0,597.0
36,5,14,1.3152250671199823,3.538484811782837,3.434521198272705,3.1817386150360107,0.16039116433333334,0.12929991300000002,0.11763997266666666,268,758.0,602.0
36,5,15,1.5170932754979107,3.5636613368988037,3.525280714035034,3.479191541671753,0.147936515,0.18331686400000002,0.19912450533333334,258,1462.0,1640.0
36,5,16,1.6103404538379176,3.590730667114258,3.4713926315307617,3.48893404006958,0.6876288266666667,0.2598350213333333,0.1900656053333333,769,2457.0,1524.0
36,5,17,1.7568781697930271,3.536125421524048,3.441835403442383,3.378312587738037,0.7223508226666666,0.19363124799999998,0.18045478666666667,732,1565.0,1388.0
36,5,18,1.5858541437667166,3.4720888137817383,3.3430871963500977,3.156588315963745,0.2559838933333333,0.19508851400000002,0.14477108533333333,391,1570.0,897.0
36,5,19,1.8779311823983393,3.58681321144104,3.409702777862549,3.3635900020599365,0.263629313,0.14281900966666664,0.123950177,289,902.0,671.0
36,5,20,1.2078133254362644,3.4819133281707764,3.3142035007476807,3.171462059020996,0.24377232733333334,0.12288858766666666,0.11526449666666667,334,681.0,588.0
36,5,21,1.1671737025485975,3.522152900695801,3.2811450958251953,3.30192232131958,0.19851696733333332,0.123333484,0.123295595,288,715.0,714.0
36,5,22,1.0746819053365664,3.484269618988037,3.2013914585113525,3.1274282932281494,0.190536708,0.118767285,0.11305587733333333,324,665.0,572.0
36,5,23,0.8800365226980718,3.383265972137451,2.9995381832122803,2.9717319011688232,0.09783184166666667,0.12012512366666667,0.110990315,160,687.0,546.0
36,5,24,0.9096428270598916,3.564051628112793,3.2473878860473633,3.183527708053589,0.15340315533333332,0.14049217733333333,0.11690176633333334,245,938.0,622.0
36,5,25,0.9662452925885151,3.391411781311035,2.987133264541626,2.96911883354187,0.376288436,0.11588457633333334,0.11274980066666668,415,611.0,581.0
